case_id,model,feature_id,subset,screenings,orientation,number_of_tests,alpha
34,CodeLlama,2757,wrong_logic_or_other_runtime,temporal_weighted,base_enriched,50,3
35,CodeLlama,13519,wrong_logic_or_other_runtime,temporal_weighted,base_enriched,50,3
36,CodeLlama,9808,wrong_logic_or_other_runtime,temporal_weighted,base_enriched,50,3
37,CodeLlama,990,wrong_logic_or_other_runtime,temporal_weighted,base_enriched,50,3
38,DSTK100,9537,post_solution_test_import_contamination,transition_vs_rest;temporal_weighted,base_enriched,80,-3
39,DSTK100,12883,post_solution_test_import_contamination,transition_vs_rest,base_enriched,80,-3
40,DSTK100,3602,post_solution_test_import_contamination,transition_vs_rest,base_enriched,80,-3
41,DSTK100,5422,post_solution_test_import_contamination,transition_vs_rest,base_enriched,80,-3
42,DSTK100,14295,post_solution_test_import_contamination,transition_vs_rest,base_enriched,80,-3
43,DSTK100,13397,post_solution_test_import_contamination,transition_vs_rest,base_enriched,80,-3
44,DSTK100,15916,post_solution_test_import_contamination,transition_vs_rest,base_enriched,80,-3
45,DSTK100,10168,post_solution_test_import_contamination,transition_vs_rest,base_enriched,80,-3
46,DSTK100,13801,post_solution_test_import_contamination,transition_vs_rest;paired_model_diff;temporal_weighted,base_enriched,80,-3
47,DSTK100,12308,post_solution_test_import_contamination,transition_vs_rest,base_enriched,80,-3
48,DSTK100,8589,post_solution_test_import_contamination,paired_model_diff;error_region,base_enriched,80,-3
49,DSTK100,13191,post_solution_test_import_contamination,paired_model_diff;error_region,base_enriched,80,-3
50,DSTK100,13646,post_solution_test_import_contamination,paired_model_diff;error_region,base_enriched,80,-3
51,DSTK100,9985,post_solution_test_import_contamination,paired_model_diff;error_region,base_enriched,80,-3
52,DSTK100,2168,post_solution_test_import_contamination,paired_model_diff;error_region,base_enriched,80,-3
53,DSTK100,15821,post_solution_test_import_contamination,paired_model_diff,base_enriched,80,-3
54,DSTK100,5018,post_solution_test_import_contamination,paired_model_diff;temporal_weighted,base_enriched,80,-3
55,DSTK100,14006,post_solution_test_import_contamination,paired_model_diff,base_enriched,80,-3
56,DSTK100,20,post_solution_test_import_contamination,paired_model_diff,base_enriched,80,-3
57,DSTK100,7828,post_solution_test_import_contamination,error_region,base_enriched,80,-3
58,DSTK100,12694,post_solution_test_import_contamination,error_region,base_enriched,80,-3
59,DSTK100,1696,post_solution_test_import_contamination,error_region,base_enriched,80,-3
60,DSTK100,6802,post_solution_test_import_contamination,error_region,base_enriched,80,-3
61,DSTK100,409,post_solution_test_import_contamination,error_region;temporal_weighted,base_enriched,80,-3
62,DSTK100,3305,post_solution_test_import_contamination,temporal_weighted,base_enriched,80,-3
63,DSTK100,2957,post_solution_test_import_contamination,temporal_weighted,base_enriched,80,-3
64,DSTK100,3048,post_solution_test_import_contamination,temporal_weighted,base_enriched,80,-3
65,DSTK100,7930,post_solution_test_import_contamination,temporal_weighted,base_enriched,80,-3
66,DSTK100,15669,post_solution_test_import_contamination,temporal_weighted,base_enriched,80,-3
67,DSTK100,9446,post_solution_test_import_contamination,temporal_weighted,base_enriched,80,-3
