task_id,boundary_percent,boundary_text,bad_token_text,pre_boundary_tokens,logit_margin_bad_minus_eos,top_features
BigCodeBench/406,4.587869362363919,)\n    img_array = np.array(img,),22,7.109375,12282:0.101224;11252:0.0953146;5411:0.0686332;8313:0.0665148;7915:0.0607448;4907:0.0569774;15654:0.0561409;15021:0.0547741;6494:0.0523725;12573:0.0509843;5498:0.0489706;10262:0.0457309;4470:0.0452308;2359:0.0444864;10029:0.0398997;15908:0.0395234;11094:0.0394618;5534:0.0389383;10219:0.0378053;2134:0.0372126
BigCodeBench/415,13.488114980652295,\n    dataframe.drop(columns=['UnicodeString']),\n,63,5.1875,15336:0.10359;10969:0.0650458;8131:0.0626428;13236:0.0440337;15818:0.0421362;1171:0.0399582;4284:0.039956;5526:0.03704;2916:0.0320607;4099:0.0292988;12229:0.0283206;14072:0.0281088;13713:0.0274048;5411:0.0266212;12671:0.0245309;11576:0.0231187;13384:0.0229996;7246:0.0220204;13428:0.0215377;14302:0.0212858
BigCodeBench/447,0.39599059522336344,----------------,----------------,9,8.140625,9608:0.349047;13264:0.10431;10399:0.0939134;11252:0.0724877;3680:0.0683755;10843:0.0624353;5411:0.0611674;10065:0.0605158;5566:0.0601107;13142:0.0595604;15148:0.0538665;489:0.0513533;6751:0.04794;9282:0.0474988;14673:0.0471051;145:0.0426815;2870:0.0410281;2772:0.0395748;11710:0.0395412;14013:0.0367898
BigCodeBench/465,1.7156862745098038,"\n        """"""",\n,10,8.3984375,2551:1.67162;15248:0.333586;6214:0.178793;3680:0.175875;5012:0.129376;13428:0.124419;9:0.117924;3769:0.0958148;9460:0.0873564;9608:0.081544;5642:0.0748976;3380:0.0747843;10054:0.0731578;1017:0.0698175;11261:0.0675678;173:0.0674233;12695:0.0624046;8618:0.0617817;15507:0.0611788;2916:0.0604363
BigCodeBench/476,51.330798479087456,0,0,129,10.5703125,3335:0.502092;3769:0.498276;9246:0.293171;3500:0.210327;3495:0.192858;8999:0.16801;3680:0.16753;6204:0.156743;2630:0.139904;10430:0.132337;7915:0.13128;9051:0.131223;2551:0.128485;1094:0.109275;2704:0.104408;4351:0.103932;5941:0.100394;105:0.0951828;4284:0.0926377;10020:0.0898651
BigCodeBench/504,1.3592233009708738,1.,1,5,3.59765625,16263:1.34653;2878:0.327382;6685:0.2093;5566:0.201497;7299:0.193404;469:0.189402;2453:0.176587;10751:0.167687;11953:0.142553;15852:0.136912;6023:0.116208;588:0.114054;13789:0.11146;6934:0.105597;4990:0.1034;10331:0.0830313;2223:0.080375;7744:0.0763417;1296:0.0750667;2203:0.0630668
BigCodeBench/536,0.7720084671896401,----------------,----------------,14,7.1875,14711:0.48828;9608:0.416992;145:0.241579;11766:0.235437;14960:0.206488;13264:0.199439;10399:0.196921;3680:0.167584;11252:0.126137;13439:0.125629;13142:0.115951;6133:0.107049;7538:0.0915543;5208:0.0898569;1362:0.0848393;2704:0.0741779;1239:0.0647748;6017:0.060571;15148:0.0598668;2870:0.0581961
BigCodeBench/592,29.885786802030456,os,os,144,-4.26171875,631:1.05773;10654:0.657465;4185:0.610111;7915:0.436425;8313:0.307074;11535:0.304467;4126:0.279612;10860:0.274645;13428:0.264694;6204:0.263291;3561:0.24058;10510:0.207504;5791:0.205659;10234:0.204076;16117:0.196024;2131:0.180167;6294:0.172524;14129:0.16353;2292:0.148746;11812:0.134544
BigCodeBench/607,2.426778242677824,# Remove rows from DataFrame based on column values\n   ,#,13,3.5625,9608:0.418239;8109:0.277033;8087:0.221894;14364:0.187461;16047:0.184456;1651:0.173209;11864:0.172848;7879:0.163906;10946:0.158409;3060:0.132606;4239:0.129373;7915:0.128628;5626:0.114142;11729:0.102621;15522:0.102309;5642:0.0949465;442:0.0936626;7744:0.0929044;1874:0.0890118;11046:0.0788852
BigCodeBench/610,2.8152260111023,# Remove rows from DataFrame based on values of multiple columns\n   ,#,15,3.9921875,9608:0.477583;8109:0.235319;1651:0.195899;8087:0.192617;7915:0.190228;11864:0.185702;14364:0.178338;16047:0.160362;10946:0.140282;442:0.13717;3060:0.129601;4239:0.129038;7879:0.112314;5626:0.102413;11729:0.096179;5642:0.0893359;7744:0.0862996;1874:0.0855256;13428:0.0844609;447:0.080409
BigCodeBench/632,0.8901705115346038,----------------,----------------,18,6.2109375,9608:0.186235;5566:0.177941;145:0.153584;10399:0.127817;13439:0.118325;13142:0.108874;11306:0.108282;7915:0.103949;10843:0.0842257;2825:0.0821081;7781:0.0760408;2223:0.0712209;13264:0.0699631;2704:0.0675079;3680:0.0612038;1236:0.0545968;8313:0.0507607;10065:0.0421342;15336:0.0412207;1239:0.0410017
BigCodeBench/653,46.27492130115425,\n    dataframe = dataframe.copy(),\n,258,8.3515625,7915:0.245568;2289:0.19982;2916:0.179203;14302:0.17401;91:0.162155;11576:0.160796;1058:0.151643;354:0.126944;634:0.107877;14280:0.106035;14673:0.105148;9812:0.102946;7958:0.0970811;2407:0.0961018;5411:0.0906461;8309:0.0890864;3060:0.0809326;15021:0.079438;105:0.0784319;3097:0.0774408
BigCodeBench/693,4.419475655430712,)\n    df = df.drop(columns,),21,-0.5390625,12332:2.17013;10458:0.518024;14467:0.413608;8944:0.340658;12694:0.31946;4752:0.246471;4152:0.2361;6285:0.196013;1777:0.191224;7755:0.182505;5526:0.169406;7175:0.155409;4581:0.150155;2099:0.139464;15548:0.137426;5411:0.135393;6865:0.134277;10828:0.128747;5242:0.119834;7915:0.115195
BigCodeBench/697,2.6936026936026938,\n    df = df.dropna(),\n,13,5.953125,5242:0.0569669;5411:0.0460013;5642:0.0455245;2187:0.0404945;3060:0.0342019;14969:0.0331097;10509:0.032213;13595:0.0275271;14974:0.0270648;9812:0.0266166;354:0.0265357;1058:0.0254562;15043:0.0242479;8313:0.0242139;13428:0.0213051;8752:0.0199259;13768:0.0190646;7109:0.0179765;11046:0.0174655;8167:0.0173037
BigCodeBench/698,5.47945205479452,5:,,27,6.2734375,2203:0.109927;3178:0.0770885;6717:0.0768705;8313:0.0586973;16263:0.0571793;7915:0.0560668;6951:0.0546542;9543:0.0518713;12501:0.0514044;7882:0.0477749;15624:0.0462425;4627:0.0451087;7781:0.0364866;10234:0.033694;1058:0.0290028;8509:0.0288939;12665:0.0285697;11710:0.0281592;1882:0.0279818;14789:0.0273363
BigCodeBench/704,3.2343584305408273,# Create list of column names\n    column_names = cols\n\n   ,#,17,8.3125,1651:0.246721;15654:0.239033;2258:0.12993;16047:0.124367;14521:0.117466;13678:0.0995867;3060:0.0928582;14817:0.0819331;144:0.0715031;8142:0.0636807;13218:0.0608136;807:0.0510585;7392:0.0488305;4359:0.0469705;12340:0.0444542;7009:0.0444138;15522:0.0420381;91:0.0417629;7744:0.0398327;8070:0.0393953
BigCodeBench/722,0.9360958562156765,----------------,----------------,16,7.3359375,9608:0.236974;145:0.12742;5566:0.115772;3680:0.11499;13264:0.104483;13439:0.100054;10399:0.0843438;11252:0.0778155;7915:0.0653289;2223:0.0610691;1362:0.0514726;15326:0.047191;10843:0.0437654;11306:0.042776;10065:0.0355302;11864:0.0348391;10751:0.0319182;9885:0.031491;3369:0.030812;2825:0.0289176
BigCodeBench/742,17.759336099585063,"', axis=1)\n\n    df = df.drop('Value","',",82,5.6875,11125:0.195854;10494:0.102713;5411:0.0753845;11576:0.0637781;12229:0.0547897;15654:0.0427191;4938:0.0424652;10828:0.0371262;9556:0.034003;5526:0.0318641;2916:0.0288585;8965:0.0287392;13428:0.027561;4210:0.0273517;4284:0.0265219;13384:0.0260212;11046:0.0257855;4550:0.0255863;10648:0.024841;3090:0.0248205
BigCodeBench/767,2.4402390438247012,# Get the count of each letter in the list\n   ,#,13,3.078125,8109:0.343494;14364:0.130397;2258:0.112802;16047:0.112137;11046:0.0919387;1874:0.0891988;16154:0.0798096;5411:0.0697206;6086:0.0679783;11864:0.0663356;7879:0.063917;7915:0.0429136;442:0.0427266;4339:0.0422796;5784:0.0413821;1651:0.0412096;15522:0.0405249;8364:0.0369037;8313:0.035796;10946:0.0314551
BigCodeBench/808,3.667953667953668,"\n    text = text.replace(' ', ' ')",\n,18,6.7421875,4740:0.333688;16080:0.17889;7915:0.164858;5642:0.0913525;5018:0.0790095;7839:0.0743121;2258:0.0692212;9812:0.062963;3060:0.0619494;3097:0.0614183;7879:0.0603133;1651:0.0601274;8244:0.0600874;1058:0.0597436;12673:0.052727;5411:0.0513331;447:0.0492427;13746:0.041994;8341:0.0406045;929:0.0395925
BigCodeBench/835,7.32,.\n    # Remove columns columns based on the provided indexes,.,48,7.375,9608:0.386349;7915:0.262892;11306:0.168533;3680:0.147831;1010:0.12314;2203:0.0996984;13428:0.097351;11729:0.0905835;1239:0.0843651;11864:0.0831217;673:0.0764152;7740:0.0731978;5411:0.0678544;15150:0.0654928;15163:0.0634883;11125:0.0631742;13462:0.06306;5691:0.0624667;7744:0.0589101;5916:0.0579257
BigCodeBench/837,13.035714285714286,0,0,26,7.0390625,13428:0.43699;7818:0.2243;2446:0.13833;5411:0.130418;11057:0.124016;8662:0.122724;5642:0.0940226;6532:0.0935087;1017:0.0856959;1639:0.082252;447:0.0820017;3893:0.0816323;404:0.0801118;7915:0.0783934;14674:0.0644665;7744:0.0631633;10331:0.0587224;1180:0.058038;11890:0.0577655;1280:0.0546715
BigCodeBench/840,13.035714285714286,0,0,26,7.34375,13428:0.225823;11057:0.154633;7818:0.133011;2446:0.11704;7915:0.0888551;5411:0.0832458;8662:0.0827945;5642:0.0763217;6532:0.0737605;447:0.0719436;1180:0.0704378;11890:0.0684074;10331:0.0675478;1639:0.0558346;1017:0.0528786;3893:0.0510167;404:0.0482506;14674:0.047732;1777:0.0433309;1651:0.0426606
BigCodeBench/847,0.9113607990012484,----------------,----------------,16,8.453125,9608:0.457691;11766:0.335246;10399:0.263127;145:0.224362;13264:0.199961;14960:0.168896;13439:0.131816;7915:0.116298;3680:0.101284;11252:0.0889002;5411:0.0840173;6751:0.070277;1239:0.0657537;10751:0.061283;7538:0.0609625;1651:0.0598676;13142:0.0571209;10843:0.0514419;6133:0.0498484;2704:0.0486328
BigCodeBench/860,10.200364298724955,0,0,20,6.9296875,13428:0.221167;7818:0.147345;11057:0.119968;2446:0.113331;6532:0.0957996;8662:0.0869413;1639:0.068723;13358:0.0601359;1017:0.0592118;1180:0.0567433;10331:0.0537497;5411:0.0523906;7915:0.0465241;5642:0.0460166;4433:0.0440268;3893:0.0422639;11890:0.0390374;2858:0.0384522;9608:0.0384201;7710:0.0372994
BigCodeBench/862,10.200364298724955,0,0,20,7.34375,11057:0.231625;13428:0.181964;7818:0.148097;2446:0.116877;5411:0.113245;8662:0.110667;1017:0.0722256;3893:0.069831;6532:0.0682259;5642:0.0649356;8313:0.0597461;1639:0.0579987;9608:0.0562988;10331:0.0491676;4253:0.0485802;7915:0.0470424;4433:0.044644;15598:0.0431198;2258:0.0429357;11890:0.0389781
BigCodeBench/891,4.47125621007807,)\n    df = df.drop(attribute,),25,0.15625,5526:0.731241;12332:0.70255;15043:0.286836;10458:0.241087;1078:0.228255;7915:0.221882;14739:0.221485;3090:0.211101;4752:0.210268;7175:0.188049;367:0.186997;13428:0.168971;12282:0.164932;8582:0.162251;12753:0.1593;3312:0.131854;15021:0.129948;11954:0.129224;4210:0.121165;3355:0.117577
BigCodeBench/905,10.126582278481013,\n            csv_reader.next(),\n,59,4.640625,4535:0.0578577;3951:0.0512398;16102:0.0501721;8313:0.0342065;169:0.0319278;13384:0.0311546;11576:0.0302295;4173:0.0301134;5411:0.0278769;7617:0.0273794;6369:0.0268615;12280:0.0232394;13428:0.021744;4837:0.021488;12967:0.0213862;11128:0.0199958;10854:0.019782;6300:0.0193639;7109:0.0191664;14969:0.0177435
BigCodeBench/976,1.6018602247771605,----------------,----------------,36,7.25,14711:0.591189;9608:0.466862;145:0.381395;10399:0.330935;13264:0.195511;3680:0.137339;7538:0.100905;5208:0.0969387;5411:0.0889643;13142:0.0851407;13428:0.0794838;807:0.0735311;8167:0.0646733;10065:0.0637569;11125:0.0611756;1239:0.0603039;13348:0.0595782;1651:0.0589997;9282:0.0588726;10843:0.0573563
BigCodeBench/977,36.11705924339757,"\n    np.random.randint(0, len(features))",\n,177,6.734375,13384:0.184801;1058:0.128586;7915:0.120899;1651:0.108718;13428:0.102673;3060:0.0857424;14673:0.0840615;1996:0.0794091;11046:0.0786646;354:0.0715678;1895:0.0694722;765:0.0693392;895:0.0618481;13348:0.0588136;9812:0.0574987;4284:0.0570635;91:0.0570115;5609:0.0551862;2916:0.0526673;3782:0.0520692
BigCodeBench/1115,1.3592233009708738,1.,1,5,4.66796875,16263:0.817885;2878:0.357103;5566:0.305747;7299:0.275282;6685:0.241959;10331:0.239306;14785:0.184934;2453:0.173734;4484:0.161492;13313:0.127256;11953:0.118101;588:0.101898;10751:0.0979603;11928:0.0904393;15852:0.0849952;2223:0.0819258;5411:0.0760353;9608:0.0731753;469:0.067936;13428:0.0642504
