rank,feature_id,mean_normalized_attribution_contrast_repeat_minus_first_occurrence,contrast_to_task_sd,support_tasks_either_boundary,positive_contrast_tasks,positive_contrast_fraction_over_support,repeat_mean_normalized_attribution,sham_mean_normalized_attribution
93,12694,0.0006745681748725474,0.26038652658462524,13,8,0.6153846383094788,0.0005647576181218028,-0.00010981047671521083
94,5626,0.0006655554170720279,0.21293936669826508,36,20,0.5555555820465088,0.001006881706416607,0.00034132631844840944
95,3951,0.0006569820106960833,0.21712933480739594,23,12,0.52173912525177,0.000557512161321938,-9.94698639260605e-05
96,14467,0.0006558914901688695,0.19837193191051483,17,9,0.529411792755127,0.0006266403361223638,-2.925122134911362e-05
97,6133,0.0006507764337584376,0.23293115198612213,10,7,0.699999988079071,0.0005327155813574791,-0.00011806083784904331
98,929,0.0006437246920540929,0.42145073413848877,23,18,0.782608687877655,0.0009266739943996072,0.0002829493023455143
99,173,0.000630732043646276,0.3734268844127655,25,14,0.5600000023841858,0.0004982830723747611,-0.00013244905858300626
100,5208,0.0006301682442426682,0.1719740331172943,8,6,0.75,0.0006301683024503291,0.0
101,5242,0.0006284445989876986,0.17514733970165253,16,8,0.5,0.0008193865651264787,0.00019094189337920398
102,7746,0.000623834494035691,0.20596472918987274,21,9,0.4285714328289032,-0.0007055792957544327,-0.001329413615167141
103,15043,0.0006223981035873294,0.17879126965999603,14,5,0.3571428656578064,0.0006768804742023349,5.448230149340816e-05
104,5923,0.0006190171698108315,0.302644282579422,27,11,0.40740740299224854,0.00023742849589325488,-0.00038158861570991576
105,16154,0.0006146152736619115,0.22909937798976898,29,12,0.4137931168079376,0.0008730372646823525,0.0002584219619166106
106,9178,0.0005923191783949733,0.2125847041606903,13,7,0.5384615659713745,0.0003379338886588812,-0.0002543852315284312
107,14739,0.0005771649884991348,0.21276460587978363,17,11,0.6470588445663452,0.0002910088514909148,-0.00028615613700821996
108,2746,0.0005679755704477429,0.3871968388557434,13,11,0.8461538553237915,0.00010824207856785506,-0.0004597335064318031
109,771,0.0005669896490871906,0.3437502086162567,17,12,0.7058823704719543,0.00014813120651524514,-0.00041885842802003026
110,16102,0.0005607120110653341,0.19253240525722504,8,4,0.5,0.0003337812959216535,-0.00022693074424751103
111,1874,0.0005578240379691124,0.1299339085817337,38,18,0.4736842215061188,0.0009986844379454851,0.0004408603999763727
112,4670,0.000557663501240313,0.15092575550079346,18,12,0.6666666865348816,3.3539148716954514e-05,-0.0005241244216449559
113,894,0.0005569987115450203,0.21481263637542725,33,15,0.4545454680919647,0.00040382129373028874,-0.00015317727229557931
114,1346,0.0005543566076084971,0.1716589778661728,22,8,0.3636363744735718,-6.791216037527192e-06,-0.0005611478118225932
115,7302,0.0005523581057786942,0.29894599318504333,22,13,0.5909090638160706,-3.380877751624212e-05,-0.0005861668614670634
116,16164,0.0005512683419510722,0.12362071871757507,31,17,0.5483871102333069,0.00010313691745977849,-0.0004481312935240567
117,4364,0.0005497016245499253,0.242129847407341,13,9,0.692307710647583,1.2404312656144612e-05,-0.0005372972809709609
118,12282,0.0005462790722958744,0.19983631372451782,22,10,0.4545454680919647,0.0009550446411594748,0.00040876553975977004
119,5232,0.0005436221836134791,0.15688341856002808,20,10,0.5,0.00031793644302524626,-0.00022568562417291105
120,15888,0.0005414850893430412,0.26545411348342896,15,10,0.6666666865348816,-0.00012902464368380606,-0.0006705097621306777
121,3078,0.0005311388522386551,0.20052947103977203,8,5,0.625,-6.816586392233148e-05,-0.0005993047379888594
122,4950,0.0005292458226904273,0.14310774207115173,11,6,0.5454545617103577,-5.4227020882535726e-05,-0.0005834728362970054
123,5691,0.0005256841541267931,0.18206413090229034,22,17,0.7727272510528564,0.00020431503071449697,-0.0003213690361008048
124,9961,0.0005216383724473417,0.16813834011554718,14,9,0.6428571343421936,-0.00029324411298148334,-0.0008148825727403164
125,4581,0.0005214518751017749,0.29056063294410706,19,12,0.6315789222717285,0.0002055763325188309,-0.0003158756298944354
126,10096,0.0005191630916669965,0.35591912269592285,21,13,0.6190476417541504,0.0005065275472588837,-1.2635519851755816e-05
127,9077,0.0005174580728635192,0.22606775164604187,9,7,0.7777777910232544,-0.0001248384651262313,-0.00064229650888592
128,7222,0.0005135851097293198,0.17432960867881775,14,6,0.4285714328289032,6.1421851569321e-05,-0.00045216322178021073
129,10654,0.0005059369141235948,0.12749381363391876,24,12,0.5,0.0009648542036302388,0.000458917289506644
130,6951,0.000505170552060008,0.23448166251182556,13,8,0.6153846383094788,0.00037808617344126105,-0.00012708442227449268
131,8944,0.0004983925027772784,0.18420229852199554,22,12,0.5454545617103577,0.00040270909084938467,-9.56833828240633e-05
132,11928,0.000493505853228271,0.17723333835601807,16,8,0.5,0.0005777833866886795,8.427756984019652e-05
133,11576,0.0004803706833627075,0.2205103635787964,16,9,0.5625,0.0012518735602498055,0.0007715028477832675
134,15595,0.0004731914959847927,0.16927212476730347,12,7,0.5833333134651184,-0.00010608668526401743,-0.0005792781594209373
135,13289,0.0004696665273513645,0.10982614755630493,10,6,0.6000000238418579,0.0004679737612605095,-1.6927951946854591e-06
136,5584,0.0004613524361047894,0.32294780015945435,37,22,0.5945945978164673,0.0008426698041148484,0.00038131733890622854
137,2911,0.0004548867582343519,0.2634463608264923,16,12,0.75,-6.739362288499251e-05,-0.0005222804029472172
138,2916,0.00044750244705937803,0.2343353033065796,22,11,0.5,0.002058404963463545,0.0016109024873003364
139,15336,0.00044639577390626073,0.12846840918064117,18,10,0.5555555820465088,0.0014858497306704521,0.0010394540149718523
140,2622,0.00044487384730018675,0.3344208896160126,34,19,0.5588235259056091,3.766013469430618e-05,-0.000407213723519817
141,10278,0.0004367853398434818,0.304873526096344,22,10,0.4545454680919647,0.00010342158930143341,-0.00033336380147375166
142,10860,0.00043234630720689893,0.2006053477525711,16,10,0.625,-6.69315195409581e-05,-0.0004992777830921113
143,10749,0.0004286800103727728,0.08656994998455048,36,25,0.6944444179534912,-0.0004443572834134102,-0.0008730372646823525
144,4938,0.0004286783223506063,0.25010785460472107,19,15,0.7894737124443054,0.00018966541392728686,-0.00023901296663098037
145,7399,0.0004212000349070877,0.22351941466331482,12,9,0.75,0.0003397276159375906,-8.147241896949708e-05
146,10494,0.00041962010436691344,0.23176497220993042,15,11,0.7333333492279053,0.000558379222638905,0.00013875903096050024
147,14040,0.0004155082569923252,0.23641836643218994,14,6,0.4285714328289032,1.6244292055489495e-05,-0.0003992639831267297
148,7755,0.0004150733002461493,0.22629965841770172,21,10,0.4761904776096344,0.00039405919960699975,-2.1014058802393265e-05
149,4375,0.0004144736158195883,0.3540056049823761,20,14,0.699999988079071,0.0003454582765698433,-6.90153829054907e-05
150,6285,0.00041368789970874786,0.130491703748703,29,12,0.4137931168079376,-0.00026521115796640515,-0.0006788991158828139
151,13365,0.0004126660933252424,0.14102570712566376,12,4,0.3333333432674408,0.0005584568716585636,0.00014579086564481258
152,2536,0.00040864309994503856,0.25611674785614014,21,11,0.523809552192688,0.00045978743582963943,5.1144328608643264e-05
153,9658,0.0004045178066007793,0.36598339676856995,20,12,0.6000000238418579,0.0006510774255730212,0.00024655964807607234
154,2858,0.0004041524953208864,0.2263580858707428,20,14,0.699999988079071,0.00043273167102597654,2.8579135687323287e-05
155,11896,0.00040414888644590974,0.15815070271492004,9,5,0.5555555820465088,0.0002061673440039158,-0.00019798155699390918
156,13062,0.0004021340573672205,0.16461479663848877,21,11,0.523809552192688,-1.8490894944989122e-05,-0.0004206249432172626
157,4173,0.00039736746111884713,0.25247979164123535,15,11,0.7333333492279053,0.0005564558086916804,0.0001590884494362399
158,5643,0.00039577833376824856,0.07703831791877747,29,15,0.517241358757019,-0.0012434819946065545,-0.001639260328374803
159,6751,0.00039530108915641904,0.1322619765996933,11,6,0.5454545617103577,0.00039945723256096244,4.15618433180498e-06
160,15320,0.0003930369857698679,0.29393768310546875,33,22,0.6666666865348816,0.0002640067250467837,-0.00012903033348266035
161,5916,0.0003915443958248943,0.18073000013828278,21,11,0.523809552192688,0.0006583922076970339,0.00026684784097597003
162,9812,0.0003913799300789833,0.167697936296463,22,12,0.5454545617103577,0.0014009727165102959,0.0010095929028466344
163,15471,0.0003906456404365599,0.28750160336494446,10,8,0.800000011920929,0.00041047530248761177,1.9829703887808137e-05
164,2289,0.000390559813240543,0.21919667720794678,16,8,0.5,0.00062083441298455,0.00023027462884783745
165,10234,0.00038893555756658316,0.25407809019088745,15,11,0.7333333492279053,0.0009050986845977604,0.0005161631852388382
166,631,0.00038888867129571736,0.05953720957040787,29,16,0.5517241358757019,0.0009115122957155108,0.0005226237117312849
167,11261,0.0003882224264089018,0.20019394159317017,17,13,0.7647058963775635,0.0004868815594818443,9.865916945273057e-05
168,11610,0.00038696316187269986,0.14874006807804108,28,12,0.4285714328289032,-8.302029164042324e-05,-0.0004699834680650383
169,354,0.0003833922673948109,0.1732615977525711,20,12,0.6000000238418579,0.0018501121085137129,0.0014667200157418847
170,15753,0.00037973333382979035,0.2252911478281021,32,21,0.65625,0.0007500259089283645,0.0003702926042024046
171,7246,0.00037343488656915724,0.3179067373275757,17,13,0.7647058963775635,0.0005262632621452212,0.00015282840467989445
172,7175,0.00037024050834588706,0.1421930491924286,27,16,0.5925925970077515,0.0006350806797854602,0.00026484017143957317
173,9246,0.00036944617750123143,0.29467812180519104,12,5,0.4166666567325592,0.0006860719877295196,0.0003166258102282882
174,11435,0.0003691719030030072,0.4023672044277191,23,17,0.739130437374115,0.00037854313268326223,9.371235137223266e-06
175,8471,0.0003669892903417349,0.16931883990764618,7,5,0.7142857313156128,-9.903383761411533e-05,-0.00046602310612797737
176,12272,0.0003665106778498739,0.1893792450428009,23,14,0.6086956262588501,0.0002713089925237,-9.520172898191959e-05
177,12673,0.0003654997854027897,0.20214205980300903,19,14,0.7368420958518982,0.000666575157083571,0.0003010754007846117
178,4817,0.00035700833541341126,0.3438149392604828,18,12,0.6666666865348816,-5.377591514843516e-05,-0.00041078421054407954
179,15326,0.00035634549567475915,0.12535716593265533,19,10,0.5263158082962036,0.000840330496430397,0.0004839850007556379
180,1078,0.00035576274967752397,0.14531300961971283,21,13,0.6190476417541504,0.0005337778711691499,0.00017801515059545636
181,160,0.0003551473200786859,0.39863261580467224,23,14,0.6086956262588501,0.0005218656733632088,0.0001667184114921838
182,12044,0.00035506178392097354,0.21317239105701447,21,10,0.4761904776096344,0.00010026071686297655,-0.00025480109616182745
183,3832,0.00035155544173903763,0.14829324185848236,19,10,0.5263158082962036,-0.00013253159704618156,-0.0004840869514737278
184,11353,0.0003467518836259842,0.38284626603126526,24,17,0.7083333134651184,-9.660995419835672e-05,-0.0004433617868926376
185,4152,0.00034510152181610465,0.18032826483249664,17,10,0.5882353186607361,0.000262429763097316,-8.267170778708532e-05
186,8244,0.0003441331791691482,0.14719727635383606,18,10,0.5555555820465088,9.827278699958697e-05,-0.0002458603703416884
187,5018,0.0003434753161855042,0.16948749125003815,4,4,1.0,0.0003743979905266315,3.092265615123324e-05
188,13218,0.0003409065247979015,0.1884309947490692,16,9,0.5625,0.00044874631566926837,0.00010783981997519732
189,4484,0.00034038309240713716,0.21585477888584137,20,14,0.699999988079071,0.0013623449485749006,0.0010219616815447807
190,8194,0.0003393291844986379,0.3163348138332367,25,12,0.47999998927116394,0.0004741625743918121,0.0001348334044450894
191,14700,0.0003388037730474025,0.3643740713596344,8,8,1.0,-8.958903345046565e-05,-0.0004283928428776562
192,9282,0.00033864116994664073,0.22283129394054413,11,6,0.5454545617103577,0.000390346918720752,5.170574877411127e-05
193,5057,0.00033816570066846907,0.3151862621307373,36,26,0.7222222089767456,-0.00017907097935676575,-0.0005172366509214044
194,8582,0.0003375405794940889,0.1953306496143341,23,15,0.6521739363670349,0.00019938948389608413,-0.00013815103739034384
195,1239,0.0003324931603856385,0.13447274267673492,22,8,0.3636363744735718,0.00200199568644166,0.0016695022350177169
196,12243,0.000332490453729406,0.15544797480106354,8,6,0.75,-0.00010226791346212849,-0.0004347583744674921
197,12103,0.00033231679117307067,0.13387247920036316,11,6,0.5454545617103577,3.778956670430489e-05,-0.0002945272426586598
198,8346,0.0003227050183340907,0.38490474224090576,31,19,0.6129032373428345,9.259178477805108e-05,-0.00023011323355603963
199,13303,0.00032239319989457726,0.22092919051647186,15,9,0.6000000238418579,0.0001900659262901172,-0.00013232725905254483
200,4359,0.0003205528773833066,0.25080031156539917,19,11,0.5789473652839661,0.0004839224857278168,0.0001633696083445102
201,1700,0.00032025986001826823,0.23171018064022064,21,13,0.6190476417541504,-0.0002230991085525602,-0.0005433589685708284
202,461,0.00031821586890146136,0.22908785939216614,9,6,0.6666666865348816,-0.00012285228876862675,-0.00044106817222200334
203,9460,0.00031615333864465356,0.15800844132900238,4,1,0.25,0.00023699009034316987,-7.916327740531415e-05
204,6398,0.0003133095451630652,0.18614532053470612,11,8,0.7272727489471436,0.00042083021253347397,0.00010752065281849355
205,4863,0.0003106171207036823,0.15377570688724518,38,21,0.5526315569877625,-0.0015570322284474969,-0.001867649145424366
206,14302,0.0003101617912761867,0.12439586967229843,7,4,0.5714285969734192,0.0003485272463876754,3.8365462387446314e-05
207,12794,0.00030312754097394645,0.27596211433410645,22,14,0.6363636255264282,0.0009086030768230557,0.0006054755067452788
208,7009,0.0002996223047375679,0.21942654252052307,13,9,0.692307710647583,0.00043497723527252674,0.00013535493053495884
209,7740,0.0002982781734317541,0.3057646155357361,21,15,0.7142857313156128,0.00040056597208604217,0.0001022878204821609
210,29,0.00029771903064101934,0.3248879611492157,14,9,0.6428571343421936,3.554256909410469e-05,-0.0002621764724608511
211,492,0.00029741189791820943,0.24214307963848114,8,5,0.625,0.00029772164998576045,3.097270280250086e-07
212,4752,0.00029672012897208333,0.10316881537437439,22,13,0.5909090638160706,0.0003674803883768618,7.07602157490328e-05
213,11306,0.0002951624628622085,0.09996256232261658,21,10,0.4761904776096344,0.0015480680158361793,0.0012529055820778012
214,13695,0.00029311206890270114,0.31278929114341736,17,10,0.5882353186607361,0.00029109223396517336,-2.019831981669995e-06
215,11227,0.0002930453047156334,0.19296371936798096,13,5,0.38461539149284363,-7.91293932707049e-05,-0.0003721746907103807
216,6051,0.0002908738679252565,0.2076883763074875,18,11,0.6111111044883728,5.837338903802447e-05,-0.00023250053345691413
217,2497,0.00028997386107221246,0.3652251064777374,17,11,0.6470588445663452,3.215920150978491e-05,-0.0002578146231826395
218,8138,0.0002887175069190562,0.14019040763378143,21,15,0.7142857313156128,-0.0013165846467018127,-0.0016053023282438517
219,2099,0.0002872905461117625,0.2296385020017624,16,9,0.5625,0.0001367541990475729,-0.0001505363470641896
220,11686,0.00028421194292604923,0.15654891729354858,20,10,0.5,-7.953964814078063e-05,-0.00036375157651491463
221,1094,0.00028393504908308387,0.11105208843946457,12,4,0.3333333432674408,-0.00013169168960303068,-0.00041562673868611455
222,9372,0.0002836986677721143,0.19191695749759674,11,7,0.6363636255264282,0.0002036331861745566,-8.006548159755766e-05
223,2825,0.00028066610684618354,0.10738755017518997,16,8,0.5,0.00019898587197531015,-8.168022031895816e-05
224,4177,0.0002803584502544254,0.19789710640907288,11,5,0.4545454680919647,-0.00021330178424250335,-0.0004936602199450135
225,2004,0.0002766838879324496,0.1382487416267395,22,13,0.5909090638160706,0.00023349835828412324,-4.318555147619918e-05
226,6300,0.00027574048726819456,0.29390016198158264,16,14,0.875,0.0003256901109125465,4.9949641834245995e-05
227,10418,0.00027505707112140954,0.15587911009788513,13,9,0.692307710647583,2.2823451217846014e-05,-0.0002522336144465953
228,5044,0.00027274878812022507,0.22075386345386505,19,13,0.6842105388641357,0.00014745697262696922,-0.00012529180094134063
229,6329,0.0002716306480579078,0.27982497215270996,19,13,0.6842105388641357,-0.0004538262728601694,-0.0007254569209180772
230,9470,0.00027118209982290864,0.3290444016456604,18,13,0.7222222089767456,0.0003170530835632235,4.5870980102336034e-05
231,7617,0.00026989640900865197,0.12220365554094315,11,3,0.27272728085517883,7.940862269606441e-05,-0.00019048777176067233
232,5930,0.0002679781464394182,0.13020160794258118,27,17,0.6296296119689941,0.0011060077231377363,0.0008380295475944877
233,15708,0.0002633778494782746,0.3991561532020569,9,8,0.8888888955116272,0.00025315984385088086,-1.0218021998298354e-05
234,11485,0.00026316713774576783,0.2784317433834076,9,8,0.8888888955116272,-7.948964776005596e-05,-0.00034265677095390856
235,14521,0.0002620358718559146,0.07104003429412842,17,7,0.4117647111415863,0.0008761101635172963,0.0006140742916613817
236,1229,0.00026046851417049766,0.12994785606861115,17,8,0.47058823704719543,-0.00020332561689428985,-0.0004637940728571266
237,2572,0.0002597800048533827,0.23389151692390442,20,14,0.699999988079071,0.0005355468019843102,0.0002757668262347579
238,13818,0.000258749263593927,0.2586372196674347,10,9,0.8999999761581421,-0.00017540264525450766,-0.00043415193795226514
239,6681,0.00025393167743459344,0.2349487543106079,19,11,0.5789473652839661,0.0003161121276207268,6.218043563421816e-05
240,9543,0.0002535159874241799,0.12495547533035278,11,5,0.4545454680919647,0.00032154025393538177,6.802428106311709e-05
241,6222,0.0002507620374672115,0.15393245220184326,7,5,0.7142857313156128,0.0002422695979475975,-8.492444976582192e-06
242,10054,0.00025051890406757593,0.19828122854232788,12,10,0.8333333134651184,0.00026806077221408486,1.754188269842416e-05
243,7109,0.0002501513226889074,0.1468958556652069,18,14,0.7777777910232544,0.00035249104257673025,0.00010233976354356855
