transition,candidate_rank,benchmark,feature_id,aggregation,evidence_rank,task_id,base_text_score,model_b_text_score,delta,base_text_tokens,model_b_text_tokens
regression,3,bigcodebench,8471,early_max,9,BigCodeBench/980,2.017397403717041,5.344465255737305,3.3270678520202637,281,495
regression,3,bigcodebench,8471,early_max,10,BigCodeBench/1017,0.0,3.108027935028076,3.108027935028076,187,513
regression,4,bigcodebench,14881,max,1,BigCodeBench/860,0.0,43.99304962158203,43.99304962158203,67,513
regression,4,bigcodebench,14881,max,2,BigCodeBench/862,0.0,42.00091552734375,42.00091552734375,75,513
regression,4,bigcodebench,14881,max,3,BigCodeBench/288,1.5291335582733154,42.73206329345703,41.202929735183716,95,513
regression,4,bigcodebench,14881,max,4,BigCodeBench/840,0.0,41.13399887084961,41.13399887084961,95,513
regression,4,bigcodebench,14881,max,5,BigCodeBench/536,0.0,40.79526901245117,40.79526901245117,122,513
regression,4,bigcodebench,14881,max,6,BigCodeBench/447,0.0,40.35026168823242,40.35026168823242,210,513
regression,4,bigcodebench,14881,max,7,BigCodeBench/504,1.47920823097229,41.272708892822266,39.793500661849976,191,513
regression,4,bigcodebench,14881,max,8,BigCodeBench/18,2.7446305751800537,42.43598175048828,39.69135117530823,233,513
regression,4,bigcodebench,14881,max,9,BigCodeBench/289,3.3805205821990967,42.980552673339844,39.60003209114075,387,513
regression,4,bigcodebench,14881,max,10,BigCodeBench/476,0.0,39.28544998168945,39.28544998168945,159,513
regression,5,bigcodebench,2910,early_max,1,BigCodeBench/119,1.497606635093689,11.934037208557129,10.43643057346344,80,64
regression,5,bigcodebench,2910,early_max,2,BigCodeBench/393,2.053804874420166,10.08984088897705,8.036036014556885,146,513
regression,5,bigcodebench,2910,early_max,3,BigCodeBench/261,0.0,4.159802436828613,4.159802436828613,108,513
regression,5,bigcodebench,2910,early_max,4,BigCodeBench/1033,0.0,3.5749382972717285,3.5749382972717285,110,511
regression,5,bigcodebench,2910,early_max,5,BigCodeBench/355,2.577409029006958,5.893687725067139,3.3162786960601807,174,503
regression,5,bigcodebench,2910,early_max,6,BigCodeBench/537,0.0,2.8067378997802734,2.8067378997802734,144,513
regression,5,bigcodebench,2910,early_max,7,BigCodeBench/1083,0.0,2.7392637729644775,2.7392637729644775,361,513
regression,5,bigcodebench,2910,early_max,8,BigCodeBench/43,0.0,2.7030396461486816,2.7030396461486816,113,513
regression,5,bigcodebench,2910,early_max,9,BigCodeBench/328,0.0,2.6644134521484375,2.6644134521484375,91,513
regression,5,bigcodebench,2910,early_max,10,BigCodeBench/835,0.0,2.397885322570801,2.397885322570801,85,513
regression,6,bigcodebench,12671,early_max,1,BigCodeBench/686,0.0,19.214963912963867,19.214963912963867,54,427
regression,6,bigcodebench,12671,early_max,2,BigCodeBench/476,0.7145728468894958,17.2049560546875,16.490383207798004,159,513
regression,6,bigcodebench,12671,early_max,3,BigCodeBench/140,0.0,15.16458511352539,15.16458511352539,152,391
regression,6,bigcodebench,12671,early_max,4,BigCodeBench/340,0.0,13.258343696594238,13.258343696594238,69,336
regression,6,bigcodebench,12671,early_max,5,BigCodeBench/379,0.0,13.168815612792969,13.168815612792969,43,149
regression,6,bigcodebench,12671,early_max,6,BigCodeBench/330,0.0,13.092194557189941,13.092194557189941,57,204
regression,6,bigcodebench,12671,early_max,7,BigCodeBench/696,0.0,12.52684211730957,12.52684211730957,68,311
regression,6,bigcodebench,12671,early_max,8,BigCodeBench/170,0.0,12.462121963500977,12.462121963500977,94,378
regression,6,bigcodebench,12671,early_max,9,BigCodeBench/113,1.3824973106384277,13.439077377319336,12.056580066680908,195,176
regression,6,bigcodebench,12671,early_max,10,BigCodeBench/725,1.0616955757141113,13.029875755310059,11.968180179595947,97,504
regression,7,bigcodebench,10890,early_max,1,BigCodeBench/292,2.199632406234741,24.439050674438477,22.239418268203735,138,513
regression,7,bigcodebench,10890,early_max,2,BigCodeBench/646,0.0,16.31756591796875,16.31756591796875,86,164
regression,7,bigcodebench,10890,early_max,3,BigCodeBench/537,0.0,12.092456817626953,12.092456817626953,144,513
regression,7,bigcodebench,10890,early_max,4,BigCodeBench/43,4.597591400146484,14.01900863647461,9.421417236328125,113,513
regression,7,bigcodebench,10890,early_max,5,BigCodeBench/1002,0.0,6.960219383239746,6.960219383239746,135,513
regression,7,bigcodebench,10890,early_max,6,BigCodeBench/634,0.0,6.383103370666504,6.383103370666504,41,28
regression,7,bigcodebench,10890,early_max,7,BigCodeBench/1033,0.0,5.913486003875732,5.913486003875732,110,511
regression,7,bigcodebench,10890,early_max,8,BigCodeBench/112,3.003974437713623,8.359960556030273,5.35598611831665,111,513
regression,7,bigcodebench,10890,early_max,9,BigCodeBench/393,13.375411987304688,18.67043685913086,5.295024871826172,146,513
regression,7,bigcodebench,10890,early_max,10,BigCodeBench/228,0.0,4.9712419509887695,4.9712419509887695,105,513
regression,8,bigcodebench,1058,max,1,BigCodeBench/693,2.2023983001708984,26.493581771850586,24.291183471679688,57,513
regression,8,bigcodebench,1058,max,2,BigCodeBench/697,0.0,24.22494125366211,24.22494125366211,78,509
regression,8,bigcodebench,1058,max,3,BigCodeBench/742,0.0,23.836318969726562,23.836318969726562,124,508
regression,8,bigcodebench,1058,max,4,BigCodeBench/891,1.747592806816101,25.354711532592773,23.607118725776672,114,507
regression,8,bigcodebench,1058,max,5,BigCodeBench/415,0.0,22.274633407592773,22.274633407592773,104,506
regression,8,bigcodebench,1058,max,6,BigCodeBench/537,0.0,20.944942474365234,20.944942474365234,144,513
regression,8,bigcodebench,1058,max,7,BigCodeBench/646,1.763095736503601,22.61827278137207,20.85517704486847,86,164
regression,8,bigcodebench,1058,max,8,BigCodeBench/136,0.0,20.83266830444336,20.83266830444336,166,513
regression,8,bigcodebench,1058,max,9,BigCodeBench/700,0.0,20.35079002380371,20.35079002380371,30,501
regression,8,bigcodebench,1058,max,10,BigCodeBench/653,1.9687526226043701,21.292606353759766,19.323853731155396,57,507
regression,9,bigcodebench,6128,max,1,BigCodeBench/646,1.548518180847168,10.659563064575195,9.111044883728027,86,164
regression,9,bigcodebench,6128,max,2,BigCodeBench/905,3.3200395107269287,12.21881103515625,8.898771524429321,88,513
regression,9,bigcodebench,6128,max,3,BigCodeBench/891,1.0188127756118774,9.510543823242188,8.49173104763031,114,507
regression,9,bigcodebench,6128,max,4,BigCodeBench/480,1.8039242029190063,10.158533096313477,8.35460889339447,123,513
regression,9,bigcodebench,6128,max,5,BigCodeBench/176,5.27163028717041,13.408186912536621,8.136556625366211,89,512
regression,9,bigcodebench,6128,max,6,BigCodeBench/697,3.798856735229492,11.917999267578125,8.119142532348633,78,509
regression,9,bigcodebench,6128,max,7,BigCodeBench/136,2.053154945373535,10.133492469787598,8.080337524414062,166,513
regression,9,bigcodebench,6128,max,8,BigCodeBench/497,5.722935199737549,13.764339447021484,8.041404247283936,128,512
regression,9,bigcodebench,6128,max,9,BigCodeBench/537,2.665236473083496,10.507685661315918,7.842449188232422,144,513
regression,9,bigcodebench,6128,max,10,BigCodeBench/725,0.0,7.436647891998291,7.436647891998291,97,504
regression,10,bigcodebench,2857,max,1,BigCodeBench/592,0.0,17.798297882080078,17.798297882080078,284,513
regression,10,bigcodebench,2857,max,2,BigCodeBench/289,0.0,14.38779067993164,14.38779067993164,387,513
regression,10,bigcodebench,2857,max,3,BigCodeBench/536,0.0,14.117155075073242,14.117155075073242,122,513
regression,10,bigcodebench,2857,max,4,BigCodeBench/504,0.0,14.062481880187988,14.062481880187988,191,513
regression,10,bigcodebench,2857,max,5,BigCodeBench/847,0.0,13.977334022521973,13.977334022521973,206,513
regression,10,bigcodebench,2857,max,6,BigCodeBench/722,0.0,13.956686973571777,13.956686973571777,124,513
regression,10,bigcodebench,2857,max,7,BigCodeBench/632,0.0,13.712409973144531,13.712409973144531,82,513
regression,10,bigcodebench,2857,max,8,BigCodeBench/447,0.0,13.6624755859375,13.6624755859375,210,513
regression,10,bigcodebench,2857,max,9,BigCodeBench/204,0.0,13.487142562866211,13.487142562866211,183,513
regression,10,bigcodebench,2857,max,10,BigCodeBench/976,0.0,13.456558227539062,13.456558227539062,157,513
regression,11,bigcodebench,8755,early_max,1,BigCodeBench/589,4.47650146484375,11.132109642028809,6.655608177185059,215,148
regression,11,bigcodebench,8755,early_max,2,BigCodeBench/58,25.690996170043945,30.831689834594727,5.140693664550781,243,169
regression,11,bigcodebench,8755,early_max,3,BigCodeBench/819,0.0,4.207873821258545,4.207873821258545,171,340
regression,11,bigcodebench,8755,early_max,4,BigCodeBench/140,0.0,3.947199583053589,3.947199583053589,152,391
regression,11,bigcodebench,8755,early_max,5,BigCodeBench/201,0.0,3.252426862716675,3.252426862716675,193,512
regression,11,bigcodebench,8755,early_max,6,BigCodeBench/228,0.0,3.0178353786468506,3.0178353786468506,105,513
regression,11,bigcodebench,8755,early_max,7,BigCodeBench/2,0.0,2.7158994674682617,2.7158994674682617,111,513
regression,11,bigcodebench,8755,early_max,8,BigCodeBench/330,0.0,2.621734619140625,2.621734619140625,57,204
regression,11,bigcodebench,8755,early_max,9,BigCodeBench/169,0.0,2.249005079269409,2.249005079269409,161,512
regression,11,bigcodebench,8755,early_max,10,BigCodeBench/261,0.0,2.2212681770324707,2.2212681770324707,108,513
regression,12,bigcodebench,14364,early_max,1,BigCodeBench/2,7.256170749664307,14.71415901184082,7.457988262176514,111,513
regression,12,bigcodebench,14364,early_max,2,BigCodeBench/610,7.656786918640137,13.827901840209961,6.171114921569824,160,513
regression,12,bigcodebench,14364,early_max,3,BigCodeBench/607,8.023700714111328,13.990640640258789,5.966939926147461,161,513
regression,12,bigcodebench,14364,early_max,4,BigCodeBench/43,9.394853591918945,15.025445938110352,5.630592346191406,113,513
regression,12,bigcodebench,14364,early_max,5,BigCodeBench/1130,9.209264755249023,14.69581413269043,5.486549377441406,191,513
regression,12,bigcodebench,14364,early_max,6,BigCodeBench/328,8.93690299987793,14.315423965454102,5.378520965576172,91,513
regression,12,bigcodebench,14364,early_max,7,BigCodeBench/188,10.552075386047363,15.757452011108398,5.205376625061035,187,513
regression,12,bigcodebench,14364,early_max,8,BigCodeBench/228,7.839437007904053,12.672728538513184,4.833291530609131,105,513
regression,12,bigcodebench,14364,early_max,9,BigCodeBench/249,10.07150650024414,14.840579986572266,4.769073486328125,91,513
regression,12,bigcodebench,14364,early_max,10,BigCodeBench/60,12.91613483428955,17.62177085876465,4.705636024475098,55,513
regression,13,bigcodebench,7436,max,1,BigCodeBench/698,0.0,15.121334075927734,15.121334075927734,71,513
regression,13,bigcodebench,7436,max,2,BigCodeBench/2,0.0,13.659629821777344,13.659629821777344,111,513
regression,13,bigcodebench,7436,max,3,BigCodeBench/610,0.0,13.15135383605957,13.15135383605957,160,513
regression,13,bigcodebench,7436,max,4,BigCodeBench/249,0.0,12.473804473876953,12.473804473876953,91,513
regression,13,bigcodebench,7436,max,5,BigCodeBench/607,0.0,12.469717979431152,12.469717979431152,161,513
regression,13,bigcodebench,7436,max,6,BigCodeBench/188,0.0,12.385719299316406,12.385719299316406,187,513
regression,13,bigcodebench,7436,max,7,BigCodeBench/258,0.0,11.755123138427734,11.755123138427734,43,510
regression,13,bigcodebench,7436,max,8,BigCodeBench/773,0.0,11.73798942565918,11.73798942565918,77,513
regression,13,bigcodebench,7436,max,9,BigCodeBench/1130,1.8358244895935059,13.340606689453125,11.50478219985962,191,513
regression,13,bigcodebench,7436,max,10,BigCodeBench/384,1.2352968454360962,12.53457260131836,11.299275755882263,126,513
regression,14,bigcodebench,11604,max,1,BigCodeBench/2,0.0,11.904712677001953,11.904712677001953,111,513
regression,14,bigcodebench,11604,max,2,BigCodeBench/632,0.0,10.398236274719238,10.398236274719238,82,513
regression,14,bigcodebench,11604,max,3,BigCodeBench/60,0.0,10.302848815917969,10.302848815917969,55,513
regression,14,bigcodebench,11604,max,4,BigCodeBench/536,0.0,9.946695327758789,9.946695327758789,122,513
regression,14,bigcodebench,11604,max,5,BigCodeBench/976,0.0,9.662731170654297,9.662731170654297,157,513
regression,14,bigcodebench,11604,max,6,BigCodeBench/447,0.0,9.649818420410156,9.649818420410156,210,513
regression,14,bigcodebench,11604,max,7,BigCodeBench/188,0.0,9.584373474121094,9.584373474121094,187,513
regression,14,bigcodebench,11604,max,8,BigCodeBench/1130,0.0,9.581947326660156,9.581947326660156,191,513
regression,14,bigcodebench,11604,max,9,BigCodeBench/610,0.0,9.345909118652344,9.345909118652344,160,513
regression,14,bigcodebench,11604,max,10,BigCodeBench/607,1.2979984283447266,10.386472702026367,9.08847427368164,161,513
regression,15,bigcodebench,3917,early_max,1,BigCodeBench/905,0.0,12.281315803527832,12.281315803527832,88,513
regression,15,bigcodebench,3917,early_max,2,BigCodeBench/686,0.0,10.240524291992188,10.240524291992188,54,427
regression,15,bigcodebench,3917,early_max,3,BigCodeBench/379,0.0,10.240242004394531,10.240242004394531,43,149
regression,15,bigcodebench,3917,early_max,4,BigCodeBench/113,0.0,10.239953994750977,10.239953994750977,195,176
regression,15,bigcodebench,3917,early_max,5,BigCodeBench/768,0.0,10.239458084106445,10.239458084106445,150,247
regression,15,bigcodebench,3917,early_max,6,BigCodeBench/330,0.0,10.239458084106445,10.239458084106445,57,204
regression,15,bigcodebench,3917,early_max,7,BigCodeBench/237,0.0,10.238346099853516,10.238346099853516,212,267
regression,15,bigcodebench,3917,early_max,8,BigCodeBench/140,0.0,10.238346099853516,10.238346099853516,152,391
regression,15,bigcodebench,3917,early_max,9,BigCodeBench/819,0.0,10.238321304321289,10.238321304321289,171,340
regression,15,bigcodebench,3917,early_max,10,BigCodeBench/340,0.0,10.238321304321289,10.238321304321289,69,336
regression,16,bigcodebench,860,early_max,1,BigCodeBench/1115,0.0,17.276630401611328,17.276630401611328,65,513
regression,16,bigcodebench,860,early_max,2,BigCodeBench/288,0.0,15.608379364013672,15.608379364013672,95,513
regression,16,bigcodebench,860,early_max,3,BigCodeBench/504,2.2920467853546143,17.521690368652344,15.22964358329773,191,513
regression,16,bigcodebench,860,early_max,4,BigCodeBench/204,1.6934518814086914,16.683547973632812,14.990096092224121,183,513
regression,16,bigcodebench,860,early_max,5,BigCodeBench/289,3.119142770767212,16.023488998413086,12.904346227645874,387,513
regression,16,bigcodebench,860,early_max,6,BigCodeBench/447,0.0,9.064579010009766,9.064579010009766,210,513
regression,16,bigcodebench,860,early_max,7,BigCodeBench/876,0.0,8.789705276489258,8.789705276489258,186,189
regression,16,bigcodebench,860,early_max,8,BigCodeBench/695,0.0,8.752113342285156,8.752113342285156,50,59
regression,16,bigcodebench,860,early_max,9,BigCodeBench/698,1.6726055145263672,10.345338821411133,8.672733306884766,71,513
regression,16,bigcodebench,860,early_max,10,BigCodeBench/1134,0.0,8.634071350097656,8.634071350097656,227,346
regression,17,bigcodebench,11495,early_max,1,BigCodeBench/742,0.0,17.450786590576172,17.450786590576172,124,508
regression,17,bigcodebench,11495,early_max,2,BigCodeBench/803,0.0,15.173255920410156,15.173255920410156,103,503
regression,17,bigcodebench,11495,early_max,3,BigCodeBench/423,0.0,14.82347583770752,14.82347583770752,218,245
regression,17,bigcodebench,11495,early_max,4,BigCodeBench/700,0.0,14.304161071777344,14.304161071777344,30,501
regression,17,bigcodebench,11495,early_max,5,BigCodeBench/948,0.0,13.681553840637207,13.681553840637207,46,504
regression,17,bigcodebench,11495,early_max,6,BigCodeBench/393,0.0,12.786147117614746,12.786147117614746,146,513
regression,17,bigcodebench,11495,early_max,7,BigCodeBench/572,0.0,12.282964706420898,12.282964706420898,177,503
regression,17,bigcodebench,11495,early_max,8,BigCodeBench/588,0.0,12.21614933013916,12.21614933013916,110,511
regression,17,bigcodebench,11495,early_max,9,BigCodeBench/653,0.0,12.04836654663086,12.04836654663086,57,507
regression,17,bigcodebench,11495,early_max,10,BigCodeBench/1017,0.0,11.104677200317383,11.104677200317383,187,513
regression,18,bigcodebench,9559,early_max,1,BigCodeBench/700,0.7177174687385559,30.382966995239258,29.665249526500702,30,501
regression,18,bigcodebench,9559,early_max,2,BigCodeBench/292,1.07837975025177,26.243030548095703,25.164650797843933,138,513
regression,18,bigcodebench,9559,early_max,3,BigCodeBench/725,1.1553974151611328,25.520793914794922,24.36539649963379,97,504
regression,18,bigcodebench,9559,early_max,4,BigCodeBench/38,1.4330332279205322,18.711807250976562,17.27877402305603,111,103
regression,18,bigcodebench,9559,early_max,5,BigCodeBench/52,0.0,16.058202743530273,16.058202743530273,87,502
regression,18,bigcodebench,9559,early_max,6,BigCodeBench/808,0.0,15.763679504394531,15.763679504394531,85,503
regression,18,bigcodebench,9559,early_max,7,BigCodeBench/767,1.8104212284088135,15.908884048461914,14.0984628200531,63,513
regression,18,bigcodebench,9559,early_max,8,BigCodeBench/980,2.3426401615142822,16.41579246520996,14.073152303695679,281,495
regression,18,bigcodebench,9559,early_max,9,BigCodeBench/297,0.0,13.917253494262695,13.917253494262695,27,61
regression,18,bigcodebench,9559,early_max,10,BigCodeBench/547,9.884902000427246,23.50481414794922,13.619912147521973,70,33
regression,19,bigcodebench,4350,early_max,1,BigCodeBench/673,3.1643006801605225,20.511932373046875,17.347631692886353,101,496
regression,19,bigcodebench,4350,early_max,2,BigCodeBench/402,4.9196648597717285,20.612823486328125,15.693158626556396,157,485
regression,19,bigcodebench,4350,early_max,3,BigCodeBench/725,0.0,9.727116584777832,9.727116584777832,97,504
regression,19,bigcodebench,4350,early_max,4,BigCodeBench/905,0.0,7.0167388916015625,7.0167388916015625,88,513
regression,19,bigcodebench,4350,early_max,5,BigCodeBench/398,2.64449405670166,8.632828712463379,5.988334655761719,68,56
regression,19,bigcodebench,4350,early_max,6,BigCodeBench/260,3.697828531265259,7.505776405334473,3.807947874069214,217,196
regression,19,bigcodebench,4350,early_max,7,BigCodeBench/408,0.0,3.5954480171203613,3.5954480171203613,60,54
regression,19,bigcodebench,4350,early_max,8,BigCodeBench/498,0.0,3.5725438594818115,3.5725438594818115,138,102
regression,19,bigcodebench,4350,early_max,9,BigCodeBench/1130,1.9612246751785278,5.262136459350586,3.300911784172058,191,513
regression,19,bigcodebench,4350,early_max,10,BigCodeBench/1050,0.0,3.038529872894287,3.038529872894287,154,226
regression,20,bigcodebench,3754,early_max,1,BigCodeBench/415,0.0,23.358139038085938,23.358139038085938,104,506
regression,20,bigcodebench,3754,early_max,2,BigCodeBench/673,0.0,13.654462814331055,13.654462814331055,101,496
regression,20,bigcodebench,3754,early_max,3,BigCodeBench/1002,3.0516791343688965,15.149298667907715,12.097619533538818,135,513
regression,20,bigcodebench,3754,early_max,4,BigCodeBench/110,0.0,11.406448364257812,11.406448364257812,134,513
regression,20,bigcodebench,3754,early_max,5,BigCodeBench/974,0.0,11.265863418579102,11.265863418579102,179,513
regression,20,bigcodebench,3754,early_max,6,BigCodeBench/588,1.7564305067062378,12.910728454589844,11.154297947883606,110,511
regression,20,bigcodebench,3754,early_max,7,BigCodeBench/653,0.0,10.938858985900879,10.938858985900879,57,507
regression,20,bigcodebench,3754,early_max,8,BigCodeBench/393,1.4785373210906982,10.82217025756836,9.343632936477661,146,513
regression,20,bigcodebench,3754,early_max,9,BigCodeBench/607,2.4003164768218994,11.462038040161133,9.061721563339233,161,513
regression,20,bigcodebench,3754,early_max,10,BigCodeBench/610,1.7768151760101318,10.734315872192383,8.957500696182251,160,513
regression,21,bigcodebench,5409,early_max,1,BigCodeBench/379,1.6461644172668457,13.482141494750977,11.83597707748413,43,149
regression,21,bigcodebench,5409,early_max,2,BigCodeBench/819,0.0,10.183959007263184,10.183959007263184,171,340
regression,21,bigcodebench,5409,early_max,3,BigCodeBench/607,0.0,9.651957511901855,9.651957511901855,161,513
regression,21,bigcodebench,5409,early_max,4,BigCodeBench/610,0.0,8.498519897460938,8.498519897460938,160,513
regression,21,bigcodebench,5409,early_max,5,BigCodeBench/476,0.0,8.329707145690918,8.329707145690918,159,513
regression,21,bigcodebench,5409,early_max,6,BigCodeBench/690,0.0,8.2153959274292,8.2153959274292,54,51
regression,21,bigcodebench,5409,early_max,7,BigCodeBench/948,4.8255486488342285,11.525394439697266,6.699845790863037,46,504
regression,21,bigcodebench,5409,early_max,8,BigCodeBench/330,3.995229482650757,10.478048324584961,6.482818841934204,57,204
regression,21,bigcodebench,5409,early_max,9,BigCodeBench/406,0.0,6.424088478088379,6.424088478088379,274,513
regression,21,bigcodebench,5409,early_max,10,BigCodeBench/249,8.670324325561523,14.700875282287598,6.030550956726074,91,513
regression,22,bigcodebench,9579,max,1,BigCodeBench/497,0.0,15.355833053588867,15.355833053588867,128,512
regression,22,bigcodebench,9579,max,2,BigCodeBench/1033,1.585950493812561,14.910762786865234,13.324812293052673,110,511
regression,22,bigcodebench,9579,max,3,BigCodeBench/249,0.0,13.154951095581055,13.154951095581055,91,513
regression,22,bigcodebench,9579,max,4,BigCodeBench/757,0.0,12.398200035095215,12.398200035095215,99,511
regression,22,bigcodebench,9579,max,5,BigCodeBench/328,0.0,12.192459106445312,12.192459106445312,91,513
regression,22,bigcodebench,9579,max,6,BigCodeBench/1130,0.0,12.14017391204834,12.14017391204834,191,513
regression,22,bigcodebench,9579,max,7,BigCodeBench/60,0.0,11.918087005615234,11.918087005615234,55,513
regression,22,bigcodebench,9579,max,8,BigCodeBench/188,3.138010263442993,12.981267929077148,9.843257665634155,187,513
regression,22,bigcodebench,9579,max,9,BigCodeBench/18,0.0,9.60028076171875,9.60028076171875,233,513
regression,22,bigcodebench,9579,max,10,BigCodeBench/384,7.93414306640625,17.288814544677734,9.354671478271484,126,513
regression,23,bigcodebench,8752,early_max,1,BigCodeBench/393,8.61765193939209,21.290544509887695,12.672892570495605,146,513
regression,23,bigcodebench,8752,early_max,2,BigCodeBench/228,0.0,7.643838882446289,7.643838882446289,105,513
regression,23,bigcodebench,8752,early_max,3,BigCodeBench/330,1.6002371311187744,8.774946212768555,7.17470908164978,57,204
regression,23,bigcodebench,8752,early_max,4,BigCodeBench/884,0.0,6.0427703857421875,6.0427703857421875,176,510
regression,23,bigcodebench,8752,early_max,5,BigCodeBench/634,3.111804723739624,8.3865327835083,5.274728059768677,41,28
regression,23,bigcodebench,8752,early_max,6,BigCodeBench/846,0.0,4.617430686950684,4.617430686950684,205,481
regression,23,bigcodebench,8752,early_max,7,BigCodeBench/2,5.184568405151367,9.565446853637695,4.380878448486328,111,513
regression,23,bigcodebench,8752,early_max,8,BigCodeBench/537,2.3304808139801025,6.087157249450684,3.756676435470581,144,513
regression,23,bigcodebench,8752,early_max,9,BigCodeBench/243,0.0,3.6989362239837646,3.6989362239837646,63,88
regression,23,bigcodebench,8752,early_max,10,BigCodeBench/112,0.0,3.588620662689209,3.588620662689209,111,513
regression,24,bigcodebench,4484,early_max,1,BigCodeBench/330,0.0,12.77472972869873,12.77472972869873,57,204
regression,24,bigcodebench,4484,early_max,2,BigCodeBench/1115,0.0,9.668173789978027,9.668173789978027,65,513
regression,24,bigcodebench,4484,early_max,3,BigCodeBench/698,0.0,6.514486789703369,6.514486789703369,71,513
regression,24,bigcodebench,4484,early_max,4,BigCodeBench/288,0.0,4.764245986938477,4.764245986938477,95,513
regression,24,bigcodebench,4484,early_max,5,BigCodeBench/340,0.0,4.716403484344482,4.716403484344482,69,336
regression,24,bigcodebench,4484,early_max,6,BigCodeBench/773,0.0,4.549952507019043,4.549952507019043,77,513
regression,24,bigcodebench,4484,early_max,7,BigCodeBench/243,0.0,4.509167194366455,4.509167194366455,63,88
regression,24,bigcodebench,4484,early_max,8,BigCodeBench/1033,0.0,4.3533172607421875,4.3533172607421875,110,511
regression,24,bigcodebench,4484,early_max,9,BigCodeBench/714,0.0,4.314738750457764,4.314738750457764,46,69
regression,24,bigcodebench,4484,early_max,10,BigCodeBench/1070,0.0,4.281344890594482,4.281344890594482,71,160
regression,25,bigcodebench,9686,max,1,BigCodeBench/286,0.0,18.07315444946289,18.07315444946289,203,512
regression,25,bigcodebench,9686,max,2,BigCodeBench/393,0.0,16.946704864501953,16.946704864501953,146,513
regression,25,bigcodebench,9686,max,3,BigCodeBench/835,0.0,16.730979919433594,16.730979919433594,85,513
regression,25,bigcodebench,9686,max,4,BigCodeBench/563,0.0,16.56212043762207,16.56212043762207,131,513
regression,25,bigcodebench,9686,max,5,BigCodeBench/891,0.0,16.202009201049805,16.202009201049805,114,507
regression,25,bigcodebench,9686,max,6,BigCodeBench/808,0.0,15.96949291229248,15.96949291229248,85,503
