case_id,crosscoder_run,benchmark,feature_id,selected_category,category_rank,task_id,transition,base_contribution,variant_contribution,differential
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,59,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,60,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,71,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,72,both_pass,0.015503794886171818,0.0,-0.015503794886171818
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,79,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,92,both_pass,0.0,0.13023272156715393,0.13023272156715393
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,103,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,116,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,157,both_pass,0.07865884900093079,0.0,-0.07865884900093079
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,4,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,11,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,12,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,15,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,16,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,18,base_pass_variant_fail,0.0,0.01314634084701538,0.01314634084701538
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,19,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,20,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,21,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,22,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,23,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,29,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,30,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,31,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,38,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,48,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,49,base_pass_variant_fail,0.0,0.17637860774993896,0.17637860774993896
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,50,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,53,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,55,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,56,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,57,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,58,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,59,both_pass,0.4138735234737396,0.0,-0.4138735234737396
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,60,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,71,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,72,both_pass,0.1399124264717102,0.0,-0.1399124264717102
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,79,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,92,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,103,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,116,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,4216,variant_increase_associated_with_regression,2,157,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,4,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,11,both_pass,0.11249282956123352,0.0,-0.11249282956123352
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,12,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,15,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,16,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,18,base_pass_variant_fail,0.0,0.32142695784568787,0.32142695784568787
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,19,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,20,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,21,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,22,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,23,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,29,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,30,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,31,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,38,both_pass,0.1300187110900879,0.0,-0.1300187110900879
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,48,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,49,base_pass_variant_fail,0.0,0.4975265860557556,0.4975265860557556
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,50,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,53,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,55,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,56,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,57,both_pass,0.06175374984741211,0.0,-0.06175374984741211
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,58,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,59,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,60,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,71,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,72,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,79,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,92,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,103,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,116,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,13909,variant_increase_associated_with_regression,3,157,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,4,both_pass,1.3544985055923462,2.395385265350342,1.0408867597579956
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,11,both_pass,1.2533073425292969,1.5248692035675049,0.271561861038208
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,12,both_pass,2.022116184234619,2.430588960647583,0.40847277641296387
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,15,both_pass,1.5019209384918213,2.2647619247436523,0.762840986251831
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,16,both_pass,1.1724483966827393,2.31728196144104,1.1448335647583008
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,18,base_pass_variant_fail,1.6976994276046753,3.6513419151306152,1.95364248752594
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,19,both_pass,1.6089706420898438,2.635035753250122,1.0260651111602783
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,20,both_pass,1.7795761823654175,1.4498610496520996,-0.32971513271331787
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,21,both_pass,1.7029170989990234,2.8845505714416504,1.181633472442627
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,22,both_pass,1.0258492231369019,1.3583192825317383,0.3324700593948364
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,23,both_pass,1.219361662864685,2.3036112785339355,1.0842496156692505
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,29,both_pass,0.47105637192726135,1.3903441429138184,0.9192878007888794
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,30,both_pass,1.0389854907989502,0.8213433027267456,-0.2176421880722046
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,31,both_pass,1.0275954008102417,1.8207080364227295,0.7931126356124878
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,38,both_pass,2.027724266052246,2.0511515140533447,0.023427248001098633
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,48,both_pass,1.3000891208648682,2.453433036804199,1.153343915939331
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,49,base_pass_variant_fail,0.7444536685943604,2.080188751220703,1.3357350826263428
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,50,both_pass,1.342952847480774,2.371443033218384,1.0284901857376099
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,53,both_pass,0.409843772649765,1.5004920959472656,1.0906482934951782
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,55,both_pass,1.1633366346359253,2.067283868789673,0.9039472341537476
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,56,both_pass,0.9703748822212219,1.7019137144088745,0.7315388321876526
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,57,both_pass,1.873714804649353,1.9990781545639038,0.12536334991455078
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,58,both_pass,1.5261565446853638,1.9042123556137085,0.3780558109283447
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,59,both_pass,2.5871334075927734,3.1591341495513916,0.5720007419586182
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,60,both_pass,1.0638569593429565,1.9685804843902588,0.9047235250473022
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,71,both_pass,1.7392189502716064,2.069127082824707,0.3299081325531006
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,72,both_pass,2.0106704235076904,2.224224090576172,0.21355366706848145
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,79,both_pass,1.168458342552185,1.6541087627410889,0.4856504201889038
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,92,both_pass,1.5502821207046509,2.1257236003875732,0.5754414796829224
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,103,both_pass,1.5573763847351074,2.598698616027832,1.0413222312927246
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,116,both_pass,1.2789524793624878,2.078392267227173,0.7994397878646851
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,2536,variant_increase_associated_with_regression,4,157,both_pass,1.5811008214950562,2.1953461170196533,0.6142452955245972
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,8484,variant_increase_associated_with_regression,5,4,both_pass,1.8178218603134155,2.1002328395843506,0.28241097927093506
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,8484,variant_increase_associated_with_regression,5,11,both_pass,1.6990125179290771,1.9729071855545044,0.27389466762542725
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,8484,variant_increase_associated_with_regression,5,12,both_pass,2.017817974090576,2.5074334144592285,0.48961544036865234
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,8484,variant_increase_associated_with_regression,5,15,both_pass,1.1003937721252441,2.544862747192383,1.4444689750671387
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,8484,variant_increase_associated_with_regression,5,16,both_pass,1.2526898384094238,2.081193685531616,0.8285038471221924
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,8484,variant_increase_associated_with_regression,5,18,base_pass_variant_fail,1.440220832824707,4.125437259674072,2.6852164268493652
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,8484,variant_increase_associated_with_regression,5,19,both_pass,2.1773533821105957,3.1873631477355957,1.010009765625
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,8484,variant_increase_associated_with_regression,5,20,both_pass,1.9289127588272095,1.498806357383728,-0.43010640144348145
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,8484,variant_increase_associated_with_regression,5,21,both_pass,1.966721534729004,2.7710537910461426,0.8043322563171387
