rank,feature_id,benchmark,task_id,task_idx,source_text,tokens,filename,rms_normalized,transition,max_activation,position,position_percent,token_text,context,encoder_base_contribution,encoder_finetuned_contribution
22,13147,bigcodebench,BigCodeBench/1099,1099,codellama_base,512,same_text__bigcodebench__task_1099__gen_00__BigCodeBench_1099.npz,True,both_fail,33.51561737060547,41,8.0078125,  ,# - Use re.sub() to remove URLs\n    # - Use Counter() to count the stopwords\n    # - Use PREDEFINED_STOPWORDS to filter the stopwords\n    # - Use re,12.52757453918457,20.99033546447754
23,13147,bigcodebench,BigCodeBench/202,202,codellama_base,513,same_text__bigcodebench__task_0202__gen_00__BigCodeBench_202.npz,True,both_fail,33.34640121459961,62,12.085769980506823,  ,to convert the string to a dict\n    # Hint: Use the collections.Counter class to count the URLs\n    # Hint: Use the top_n parameter to limit the number of URLs returned\n    # Hint: Use,12.29298210144043,21.055646896362305
24,13147,bigcodebench,BigCodeBench/470,470,codellama_base,513,same_text__bigcodebench__task_0470__gen_00__BigCodeBench_470.npz,True,both_fail,33.07199478149414,54,10.526315789473685,  ,values in myList.\n    # Hint: Use plt.hist() to plot the histogram.\n    # Hint: Use plt.xticks() to align the bin edges with integer values in myList.\n   ,10.977444648742676,22.096864700317383
25,13147,bigcodebench,BigCodeBench/55,55,codellama_base,513,same_text__bigcodebench__task_0055__gen_00__BigCodeBench_55.npz,True,both_fail,32.61442565917969,84,16.374269005847953,  ,"   # Hint: Use the following regex to split each sentence into words:\n    # r""\w+""\n    # Hint: Use the following regex to remove stopwords:\n    # r""\b(?:"" + ""|",11.107563018798828,21.509092330932617
26,13147,bigcodebench,BigCodeBench/642,642,codellama_base,513,same_text__bigcodebench__task_0642__gen_00__BigCodeBench_642.npz,True,both_fail,32.28964614868164,97,18.908382066276804,  ,content\n    # TODO: Use the binascii module to convert the hash to a hexadecimal string\n    # TODO: Return a dictionary with file paths as keys and their SHA256 hashes as values\n   ,10.015467643737793,22.27643394470215
27,13147,bigcodebench,BigCodeBench/1110,1110,codellama_base,513,same_text__bigcodebench__task_1110__gen_00__BigCodeBench_1110.npz,True,both_fail,32.053890228271484,114,22.22222222222222,  ,in the words\n    # frequencies = [Counter(letters).get(letter) for letter in letters]\n    # Hint: Use the following line to get the frequencies of the letters in the words as a dictionary\n    #,10.93327522277832,21.122865676879883
28,13147,bigcodebench,BigCodeBench/349,349,codellama_base,513,same_text__bigcodebench__task_0349__gen_00__BigCodeBench_349.npz,True,both_fail,32.035762786865234,40,7.797270955165692,  ,random module to generate random numbers\n    # Hint: Use the product_list and categories to create the report\n    # Hint: Use the random.randint() function to generate random numbers\n    # Hint: Use the,10.25706958770752,21.78093910217285
29,13147,bigcodebench,BigCodeBench/418,418,codellama_base,513,same_text__bigcodebench__task_0418__gen_00__BigCodeBench_418.npz,True,both_fail,31.91858673095703,120,23.391812865497077,  ,curve\n    # - sklearn.metrics.auc\n    # - matplotlib.pyplot.plot\n    # - matplotlib.pyplot.xlabel\n    # - matplotlib.pyplot.ylabel\n    # -,11.486809730529785,20.434045791625977
30,13147,humanevalplus,HumanEval/100,100,codellama_base,47,same_text__humanevalplus__task_0100__gen_00__HumanEval_100.npz,True,both_fail,31.918153762817383,31,65.95744680851064,  ,"function\n    # Hint: Use a list comprehension\n    # Hint: Use the modulo operator\n    return [n, n + 1, n + 3]\n",9.808666229248047,22.11174964904785
31,13147,bigcodebench,BigCodeBench/870,870,codellama_base,513,same_text__bigcodebench__task_0870__gen_00__BigCodeBench_870.npz,True,both_fail,31.900449752807617,89,17.348927875243664,  ,column\n    # Hint: Use the pandas.DataFrame.dropna() method to drop rows with missing data\n    # Hint: Use the pandas.DataFrame.insert() method to add a column to a DataFrame\n    #,12.807540893554688,19.095195770263672
32,13147,bigcodebench,BigCodeBench/740,740,codellama_base,513,same_text__bigcodebench__task_0740__gen_00__BigCodeBench_740.npz,True,both_fail,31.069522857666016,61,11.89083820662768,  ,int: Use heapq.nsmallest()\n    # Hint: Use heapq.merge()\n    # Hint: Use heapq.merge()\n    # Hint: Use heapq.merge()\n   ,11.48746109008789,19.584333419799805
33,13147,bigcodebench,BigCodeBench/54,54,codellama_base,188,same_text__bigcodebench__task_0054__gen_00__BigCodeBench_54.npz,True,both_fail,30.543155670166016,31,16.48936170212766,  ,task\n    # Hint: Use the CountVectorizer class from sklearn.feature_extraction.text\n    # Hint: Use the regex library to split the text into sentences\n\n    # Split the text into sentences\n,9.681055068969727,20.86436653137207
34,13147,bigcodebench,BigCodeBench/325,325,codellama_base,513,same_text__bigcodebench__task_0325__gen_00__BigCodeBench_325.npz,True,both_fail,30.251556396484375,30,5.847953216374269,  ,task_func\n    # TODO: Implement regex_pattern\n    # TODO: Implement directory_path\n    # TODO: Implement regex_pattern\n    # TODO: Implement directory_path\n    # TODO: Im,8.824666023254395,21.429168701171875
35,13147,bigcodebench,BigCodeBench/843,843,codellama_base,513,same_text__bigcodebench__task_0843__gen_00__BigCodeBench_843.npz,True,both_fail,29.827348709106445,103,20.077972709551656,  ,strings.\n    # Hint: Use the split() function to split a string into a list of words.\n    # Hint: Use the map() function to apply a function to each element of a list.\n    # H,11.286978721618652,18.54261589050293
36,13147,bigcodebench,BigCodeBench/50,50,codellama_base,282,same_text__bigcodebench__task_0050__gen_00__BigCodeBench_50.npz,True,both_fail,29.437606811523438,58,20.56737588652482,  ,: Use the matplotlib.pyplot module.\n    # Hint: Use the DATE_FORMAT constant.\n    # Hint: Use the TIMEZONES constant.\n\n    # Convert the timestamp to a datetime object,9.249675750732422,20.190185546875
37,13147,bigcodebench,BigCodeBench/503,503,codellama_base,513,same_text__bigcodebench__task_0503__gen_00__BigCodeBench_503.npz,True,both_fail,29.427093505859375,126,24.56140350877193,  ,"the numpy.random.rand() function to create a random float in [0.0,1.0).\n    #       Use the pandas.DataFrame.loc[] function to set the values of the DataFrame.\n    #      ",11.603187561035156,17.826156616210938
38,13147,bigcodebench,BigCodeBench/606,606,codellama_base,513,same_text__bigcodebench__task_0606__gen_00__BigCodeBench_606.npz,True,both_fail,29.35487174987793,121,23.586744639376217,  ,function from the numpy package.\n    # Hint: Use the np.std function from the numpy package.\n    # Hint: Use the np.isnan function from the numpy package.\n    # Hint: Use the,10.754881858825684,18.602256774902344
39,13147,bigcodebench,BigCodeBench/550,550,codellama_base,513,same_text__bigcodebench__task_0550__gen_00__BigCodeBench_550.npz,True,both_fail,29.09225082397461,94,18.323586744639375,  ,\n    # Hint: Use pd.DataFrame.rename() to rename the index of the DataFrame.\n    # Hint: Use pd.DataFrame.sort_values() to sort the DataFrame.\n    # Hint,11.746047973632812,17.348493576049805
40,13147,bigcodebench,BigCodeBench/1059,1059,codellama_base,511,same_text__bigcodebench__task_1059__gen_00__BigCodeBench_1059.npz,True,both_fail,28.95968246459961,23,4.500978473581213,  ,  # TODO: Implement task_func()\n    # ...\n    # ...\n    # ...\n    # ...\n    # ...\n    # ...\n    # ...\n    # ...\n    # ...\n   ,8.989458084106445,19.972475051879883
41,13147,bigcodebench,BigCodeBench/69,69,codellama_base,374,same_text__bigcodebench__task_0069__gen_00__BigCodeBench_69.npz,True,both_fail,28.60784912109375,105,28.074866310160427,  ,"a histogram\n    # ax = plt.hist(salaries, bins=100)\n    # Hint: Use the following code to set the title of the histogram\n    # ax.set_title",7.04745626449585,21.562658309936523
42,13147,bigcodebench,BigCodeBench/72,72,codellama_base,419,same_text__bigcodebench__task_0072__gen_00__BigCodeBench_72.npz,True,both_fail,27.538528442382812,108,25.77565632458234,  ,\n    # np.mean()\n    # np.median()\n    # plt.hist()\n    # plt.show()\n\n    # Get the list of files in the directory\n    files = os.list,9.260613441467285,18.28017807006836
43,13147,bigcodebench,BigCodeBench/1034,1034,codellama_base,513,same_text__bigcodebench__task_1034__gen_00__BigCodeBench_1034.npz,True,both_fail,27.35005760192871,22,4.288499025341131,  ,  # TODO: Implement task_func\n    # ...\n    # ...\n    # ...\n    # ...\n    # ...\n    # ...\n    # ...\n    # ...\n    # ...\n   ,8.209613800048828,19.142704010009766
44,13147,bigcodebench,BigCodeBench/754,754,codellama_base,513,same_text__bigcodebench__task_0754__gen_00__BigCodeBench_754.npz,True,both_fail,27.258275985717773,88,17.153996101364523,  ,"functions ""mean"", ""median"", ""min"", ""max"", ""std"" to compute the statistical values.\n    # Hint: Use the datetime function ""datetime.now"" to get the current date and time.\n    #",10.384374618530273,16.87615966796875
45,13147,bigcodebench,BigCodeBench/540,540,codellama_base,513,same_text__bigcodebench__task_0540__gen_00__BigCodeBench_540.npz,True,both_fail,26.506587982177734,123,23.976608187134502,  ,labels.\n    # Hint: Use matplotlib.pyplot.title to set the title of the plot.\n    # Hint: Use matplotlib.pyplot.show to display the plot.\n    # Hint: Use matplotlib,12.271926879882812,14.236900329589844
46,13147,bigcodebench,BigCodeBench/367,367,codellama_base,200,same_text__bigcodebench__task_0367__gen_00__BigCodeBench_367.npz,True,both_fail,26.473751068115234,19,9.5,  ,"  # TODO: Implement task_func\n    # raise NotImplementedError\n    if not all(isinstance(activity, datetime) for activity in activities):\n        raise TypeError(""Activities must",6.526420593261719,19.9495849609375
47,13147,bigcodebench,BigCodeBench/705,705,codellama_base,513,same_text__bigcodebench__task_0705__gen_00__BigCodeBench_705.npz,True,both_fail,26.284746170043945,89,17.348927875243664,  ,.\n    # Hint: Use np.random.seed() to set the random seed to 0.\n    # Hint: Use np.random.normal() to generate a random sample of size 1000 from,9.369773864746094,16.917236328125
48,13147,bigcodebench,BigCodeBench/37,37,codellama_base,511,same_text__bigcodebench__task_0037__gen_00__BigCodeBench_37.npz,True,both_fail,25.564558029174805,19,3.7181996086105675,  ,  # TODO: Implement the function\n    # raise NotImplementedError()\n    # print(df.head(2))\n    # print(target_column)\n    # print(df,5.38723611831665,20.179601669311523
49,13147,bigcodebench,BigCodeBench/31,31,codellama_base,513,same_text__bigcodebench__task_0031__gen_00__BigCodeBench_31.npz,True,both_fail,24.88896942138672,61,11.89083820662768,  ,   # Hint: Use the nltk.FreqDist() function to count the frequency of words.\n    # Hint: Use the nltk.word_tokenize() function to tokenize the text.\n   ,10.39867877960205,14.4925537109375
50,13147,bigcodebench,BigCodeBench/483,483,codellama_base,24,same_text__bigcodebench__task_0483__gen_00__BigCodeBench_483.npz,True,both_fail,23.80294418334961,9,37.5,  ,  # TODO: Implement this function\n    # Hint: Use the helper function below\n    return df\n,5.8764967918396,17.9287052154541
