candidate_rank,benchmark,transition,aggregation,feature_id,n,positives,prevalence,roc_auc,pr_auc,pr_lift,effect,permutation_null_sd,effect_to_permutation_variability,permutation_p_nominal,positive_support,positive_delta_support,control_support,decoder_base_norm,decoder_finetuned_norm,decoder_finetuned_specificity,unique_delta_values
14,humanevalplus,regression,max,596,66,7,0.10606060606060606,0.6416464891041163,0.6181927121459542,5.828674143090425,4.673328399658203,1.2774608135223389,3.658294916152954,0.004975124378109453,7,4,59,0.7044839859008789,0.7097201347351074,0.5018512606620789,56
15,bigcodebench,regression,early_max,10967,268,79,0.2947761194029851,0.5978166231330788,0.4065690653197846,1.379246955768383,0.7199883460998535,0.19936887919902802,3.611337661743164,0.004975124378109453,66,47,127,0.6954476833343506,0.7185763120651245,0.5081782937049866,205
16,bigcodebench,regression,early_max,15218,268,79,0.2947761194029851,0.5830821780188868,0.41756611515886277,1.4165534033237368,3.3925886154174805,0.9407433271408081,3.6062850952148438,0.004975124378109453,35,27,94,0.6969425082206726,0.7171266078948975,0.507136881351471,138
17,bigcodebench,regression,max,11381,268,79,0.2947761194029851,0.6429576049829214,0.4663270096526754,1.5819701086951519,3.965705633163452,1.1061272621154785,3.585216522216797,0.004975124378109453,56,49,83,0.7009794116020203,0.7131806015968323,0.5043139457702637,160
18,bigcodebench,regression,max,13871,268,79,0.2947761194029851,0.5793650793650794,0.4621567101957406,1.5678227637020061,1.170218586921692,0.32716432213783264,3.576852798461914,0.004975124378109453,77,44,177,0.6898568272590637,0.7239462733268738,0.5120559334754944,259
19,bigcodebench,regression,max,1196,268,79,0.2947761194029851,0.5978501105083384,0.4068896228325758,1.380334416697852,3.9026341438293457,1.092447280883789,3.5723774433135986,0.004975124378109453,70,57,126,0.6832287907600403,0.7302045226097107,0.5166175961494446,225
20,bigcodebench,regression,max,5685,268,79,0.2947761194029851,0.6024043935436341,0.42428505668693656,1.4393467745835316,2.013888359069824,0.5648223161697388,3.565525531768799,0.004975124378109453,52,44,95,0.6914994120597839,0.72237628698349,0.5109192132949829,171
21,bigcodebench,regression,max,1304,268,79,0.2947761194029851,0.5843546982787489,0.38041455815090075,1.2905202732207772,5.183407306671143,1.4580950736999512,3.554917335510254,0.004975124378109453,46,42,87,0.6922507286071777,0.7216572761535645,0.5103990435600281,177
22,bigcodebench,regression,max,14089,268,79,0.2947761194029851,0.5805706248744223,0.432231242531757,1.4663034556773527,5.140781402587891,1.4464027881622314,3.5541837215423584,0.004975124378109453,45,33,86,0.6956542134284973,0.7183759212493896,0.5080344080924988,175
23,bigcodebench,regression,max,5572,268,79,0.2947761194029851,0.6189806442971,0.41585084029606606,1.4107344961942494,2.498621940612793,0.7031915783882141,3.5532591342926025,0.004975124378109453,75,75,171,0.6838883757591248,0.7295864820480347,0.5161651968955994,250
24,bigcodebench,regression,max,2581,268,79,0.2947761194029851,0.6164356037773759,0.4362842895631895,1.4800530329485415,6.3011884689331055,1.7791528701782227,3.5416791439056396,0.004975124378109453,46,45,83,0.6995646357536316,0.7145695686340332,0.5053053498268127,158
25,humanevalplus,regression,max,7406,66,7,0.10606060606060606,0.7215496368038741,0.5708558974613455,5.382355604635543,13.571203231811523,3.8334262371063232,3.5402281284332275,0.004975124378109453,6,5,22,0.6942565441131592,0.7197266817092896,0.5090065002441406,33
1,humanevalplus,improvement,early_max,4833,98,42,0.42857142857142855,0.7642431972789115,0.7108782846624574,1.658715997545734,7.46806001663208,1.7671228647232056,4.226112365722656,0.004975124378109453,41,38,37,0.6828759908676147,0.7305334210395813,0.5168589949607849,83
2,humanevalplus,improvement,early_max,433,98,42,0.42857142857142855,0.7115221088435374,0.6962582875332924,1.6246026709110157,2.8703091144561768,0.6807299256324768,4.216516494750977,0.004975124378109453,25,25,16,0.6884317994117737,0.7253004312515259,0.5130394697189331,47
3,humanevalplus,improvement,max,15947,98,42,0.42857142857142855,0.7062074829931972,0.667658730804789,1.557870371877841,5.931251525878906,1.5063673257827759,3.9374537467956543,0.004975124378109453,37,36,39,0.6760633587837219,0.7368432879447937,0.5215088129043579,84
4,humanevalplus,improvement,max,10846,98,42,0.42857142857142855,0.7223639455782312,0.6902821402637516,1.6106583272820871,3.8482840061187744,0.9929203391075134,3.875722885131836,0.004975124378109453,38,37,45,0.6822763681411743,0.7310951352119446,0.5172703266143799,88
5,humanevalplus,improvement,max,15027,98,42,0.42857142857142855,0.6981292517006803,0.6691003934868326,1.561234251469276,3.7209689617156982,0.99641352891922,3.7343621253967285,0.004975124378109453,40,37,41,0.6738184094429016,0.7388971447944641,0.5230332016944885,86
6,humanevalplus,improvement,early_max,8205,98,42,0.42857142857142855,0.70578231292517,0.5785908913963252,1.3500454132580924,6.810253143310547,1.8381876945495605,3.704873561859131,0.004975124378109453,39,38,35,0.6924229264259338,0.7214921116828918,0.510279655456543,83
7,humanevalplus,improvement,max,4303,98,42,0.42857142857142855,0.6981292517006803,0.623144030138693,1.4540027369902837,4.906516075134277,1.3278132677078247,3.695185422897339,0.004975124378109453,42,36,52,0.693742036819458,0.720224142074585,0.5093644857406616,95
8,humanevalplus,improvement,max,5841,98,42,0.42857142857142855,0.6624149659863946,0.6739043838316131,1.572443562273764,2.3399884700775146,0.6426917910575867,3.640918493270874,0.004975124378109453,36,30,43,0.6815295815467834,0.7317907810211182,0.5177812576293945,84
9,humanevalplus,improvement,max,9701,98,42,0.42857142857142855,0.6943027210884354,0.6498571591932026,1.5163333714508063,1.778812289237976,0.4890100061893463,3.6375784873962402,0.004975124378109453,41,37,51,0.695279061794281,0.7187400460243225,0.5082958340644836,95
10,humanevalplus,improvement,early_max,201,98,42,0.42857142857142855,0.6509353741496599,0.6386876028524274,1.4902710733223308,1.0802764892578125,0.29726365208625793,3.634068489074707,0.004975124378109453,28,25,24,0.6585673093795776,0.7525216341018677,0.5332913994789124,56
11,humanevalplus,improvement,early_max,6927,98,42,0.42857142857142855,0.7011054421768708,0.6115968482198375,1.4270593125129543,4.470944881439209,1.2454895973205566,3.5897088050842285,0.004975124378109453,37,35,42,0.6948376297950745,0.7191661596298218,0.5086026787757874,83
12,humanevalplus,improvement,max,16143,98,42,0.42857142857142855,0.7206632653061225,0.6670369226097433,1.5564194860894012,3.776524543762207,1.0526689291000366,3.587570905685425,0.004975124378109453,42,37,53,0.6927183866500854,0.7212080359458923,0.5100746750831604,96
13,humanevalplus,improvement,early_max,9165,98,42,0.42857142857142855,0.6473214285714286,0.5664613161875872,1.3217430711043703,0.8468464612960815,0.2389962524175644,3.5433461666107178,0.004975124378109453,16,14,16,0.6901441812515259,0.7236721515655518,0.511857271194458,43
14,humanevalplus,improvement,max,14854,98,42,0.42857142857142855,0.6590136054421769,0.6583889516388274,1.536240887157264,4.435254096984863,1.270850658416748,3.489988327026367,0.009950248756218905,41,30,47,0.6887989640235901,0.7249524593353271,0.5127863883972168,94
15,humanevalplus,improvement,max,9953,98,42,0.42857142857142855,0.6926020408163265,0.6789522244256712,1.5842218569932327,9.491815567016602,2.720381259918213,3.4891490936279297,0.004975124378109453,37,34,33,0.6993042826652527,0.7148242592811584,0.5054874420166016,78
16,humanevalplus,improvement,early_max,12439,98,42,0.42857142857142855,0.6207482993197279,0.557001860573289,1.2996710080043412,0.7743736505508423,0.22290900349617004,3.473945140838623,0.004975124378109453,12,11,6,0.6834486126899719,0.7299987077713013,0.5164668560028076,26
17,humanevalplus,improvement,max,10407,98,42,0.42857142857142855,0.6962159863945578,0.6225882353528485,1.45270588248998,1.5772695541381836,0.4614781141281128,3.4178643226623535,0.004975124378109453,28,26,17,0.6857084631919861,0.727875828742981,0.5149150490760803,55
18,humanevalplus,improvement,max,14241,98,42,0.42857142857142855,0.6960034013605442,0.6535203172185589,1.5248807401766373,2.4087796211242676,0.7053605318069458,3.4149622917175293,0.004975124378109453,38,34,45,0.6837707757949829,0.7296968102455139,0.5162458419799805,88
19,humanevalplus,improvement,max,11345,98,42,0.42857142857142855,0.6972789115646258,0.649223857692791,1.5148556679498457,6.193592071533203,1.816834568977356,3.409001588821411,0.009950248756218905,39,36,49,0.6961307525634766,0.7179144024848938,0.507702648639679,89
20,humanevalplus,improvement,max,15107,98,42,0.42857142857142855,0.6947278911564626,0.6656399100594385,1.5531597901386898,5.1690216064453125,1.5268895626068115,3.3853278160095215,0.004975124378109453,41,35,48,0.681373655796051,0.7319355010986328,0.5178877711296082,94
21,humanevalplus,improvement,max,8377,98,42,0.42857142857142855,0.6972789115646258,0.6141442606097004,1.4330032747559678,2.6906802654266357,0.7980606555938721,3.37152361869812,0.004975124378109453,42,37,53,0.685829222202301,0.7277623414993286,0.514832079410553,96
22,humanevalplus,improvement,max,10050,98,42,0.42857142857142855,0.6823979591836735,0.6439238727838138,1.5024890364955656,8.07168197631836,2.3957982063293457,3.3690993785858154,0.004975124378109453,41,36,50,0.6890218257904053,0.7247410416603088,0.5126326680183411,95
23,humanevalplus,improvement,early_max,941,98,42,0.42857142857142855,0.6892006802721088,0.5871297338484802,1.3699693789797873,1.9771652221679688,0.5888112187385559,3.357893228530884,0.004975124378109453,33,32,34,0.6880226135253906,0.7256897687911987,0.5133220553398132,68
24,humanevalplus,improvement,max,14266,98,42,0.42857142857142855,0.6883503401360545,0.6571682808972703,1.5333926554269641,2.3102874755859375,0.6907451748847961,3.344630718231201,0.004975124378109453,42,39,53,0.6963116526603699,0.7177400588989258,0.5075769424438477,95
25,humanevalplus,improvement,max,15843,98,42,0.42857142857142855,0.6836734693877551,0.6604521407096345,1.5410549949891474,3.194856882095337,0.9601595401763916,3.327422857284546,0.004975124378109453,39,37,46,0.6465070247650146,0.7629075646400452,0.5412939786911011,88
