project,feature,arm,family,side,alpha,tasks,changed_tasks,pass_gain,pass_loss,net_pass,baseline_passes,current_passes,median_length_delta,median_common_prefix_fraction,unchanged,test_marker,imports,returns,function_structure,comments,other_logic_text
DSTK100,3048,f3048_own_neg1,target_own,own,1.0,80,17,1,0,1,0,1,4,0.701460248783126,63,6,4,0,1,2,4
DSTK100,3048,f3048_own_neg2,target_own,own,2.0,80,22,1,0,1,0,1,13.0,0.7375629280182012,58,6,4,0,4,2,6
DSTK100,3048,f3048_own_neg3,target_own,own,3.0,80,27,3,0,3,0,3,-1,0.7032280458174245,53,8,4,0,3,4,8
DSTK100,3048,f3048_own_neg4,target_own,own,4.0,80,32,2,0,2,0,2,-1.5,0.7124598619264475,48,7,8,1,3,4,9
DSTK100,3048,f3048_own_neg5,target_own,own,5.0,80,35,2,0,2,0,2,-1,0.7476313522825151,45,9,7,1,3,5,10
DSTK100,3048,f3048_own_neg6,target_own,own,6.0,80,37,2,0,2,0,2,-9,0.7032280458174245,43,9,9,0,6,6,7
DSTK100,3048,f3048_reverse_pos0.5,target_reverse,reverse,0.5,80,6,0,1,-1,60,59,-188.0,0.7889357574302972,74,2,0,2,0,1,1
DSTK100,3048,f3048_reverse_pos1,target_reverse,reverse,1.0,80,12,0,1,-1,60,59,-70.5,0.8514750535771882,68,3,0,3,0,5,1
DSTK100,3048,f3048_reverse_pos2,target_reverse,reverse,2.0,80,19,0,1,-1,60,59,-28,0.7037800687285224,61,3,1,4,0,8,3
DSTK100,3048,f3048_reverse_pos3,target_reverse,reverse,3.0,80,28,1,4,-3,60,57,-3.0,0.7986947872498009,52,4,2,5,0,12,5
DSTK100,3048,f3048_reverse_pos4,target_reverse,reverse,4.0,80,33,3,6,-3,60,57,-16,0.8142688679245284,47,8,2,5,0,12,6
DSTK100,3048,f3048_reverse_pos5,target_reverse,reverse,5.0,80,39,3,8,-5,60,55,-6,0.7488430795119899,41,8,3,5,0,13,10
DSTK100,3048,f3048_reverse_pos6,target_reverse,reverse,6.0,80,40,3,8,-5,60,55,-7.0,0.7863594426661646,40,8,3,5,0,12,12
DSTK100,3048,f7828_control_neg0.5,feature_control,own,0.5,80,9,2,0,2,0,2,0,0.8475056689342404,71,1,2,0,0,0,6
DSTK100,3048,f7828_control_neg1,feature_control,own,1.0,80,9,1,0,1,0,1,4,0.7718978102189781,71,0,3,0,2,0,4
DSTK100,3048,f7828_control_neg2,feature_control,own,2.0,80,18,1,0,1,0,1,0.0,0.7627142809637031,62,2,4,1,4,0,7
DSTK100,3048,f7828_control_neg3,feature_control,own,3.0,80,25,5,0,5,0,5,-8,0.7486437613019892,55,4,6,2,4,1,8
DSTK100,3048,f7828_control_neg4,feature_control,own,4.0,80,33,6,0,6,0,6,-8,0.766107678729038,47,5,10,1,6,0,11
DSTK100,3048,f7828_control_neg5,feature_control,own,5.0,80,39,9,0,9,0,9,-35,0.7535307517084282,41,6,11,1,9,2,10
DSTK100,3048,f7828_control_neg6,feature_control,own,6.0,80,42,8,0,8,0,8,-34.5,0.7598192152187331,38,6,13,1,9,1,12
DSTK100,3048,sham304801_neg0.5,sham,own,0.5,80,8,0,0,0,0,0,35.0,0.7636254426949105,72,3,1,0,1,0,3
DSTK100,3048,sham304801_neg1,sham,own,1.0,80,13,3,0,3,0,3,-3,0.8475056689342404,67,4,2,0,3,1,3
DSTK100,3048,sham304801_neg2,sham,own,2.0,80,16,2,0,2,0,2,-1.0,0.8505142683360942,64,5,3,0,2,1,5
DSTK100,3048,sham304801_neg3,sham,own,3.0,80,22,3,0,3,0,3,-1.0,0.8505142683360942,58,7,4,0,3,0,8
DSTK100,3048,sham304801_neg4,sham,own,4.0,80,27,4,0,4,0,4,-9,0.7788426096572061,53,9,5,0,3,1,9
DSTK100,3048,sham304801_neg5,sham,own,5.0,80,32,5,0,5,0,5,-8.5,0.768662588513092,48,10,6,0,3,2,11
DSTK100,3048,sham304801_neg6,sham,own,6.0,80,29,5,0,5,0,5,-9,0.7788426096572061,51,8,6,0,3,2,10
DSTK100,3048,sham304802_neg0.5,sham,own,0.5,80,11,0,0,0,0,0,18,0.7553530751708428,69,1,3,0,2,0,5
DSTK100,3048,sham304802_neg1,sham,own,1.0,80,15,1,0,1,0,1,4,0.7198162729658792,65,2,6,1,2,1,3
DSTK100,3048,sham304802_neg2,sham,own,2.0,80,19,2,0,2,0,2,9,0.7718978102189781,61,3,6,0,1,1,8
DSTK100,3048,sham304802_neg3,sham,own,3.0,80,24,2,0,2,0,2,4.5,0.6944436655165016,56,3,6,1,1,4,9
DSTK100,3048,sham304802_neg4,sham,own,4.0,80,30,5,0,5,0,5,0.0,0.7124937644211532,50,5,10,1,2,6,6
DSTK100,3048,sham304802_neg5,sham,own,5.0,80,36,7,0,7,0,7,-3.5,0.7107133492734821,44,6,11,1,2,6,10
DSTK100,3048,sham304802_neg6,sham,own,6.0,80,39,8,0,8,0,8,-5,0.7051712558764271,41,7,9,1,5,3,14
DSTK100,3048,sham304803_neg0.5,sham,own,0.5,80,8,0,0,0,0,0,20.5,0.6686546096792314,72,1,3,0,1,0,3
DSTK100,3048,sham304803_neg1,sham,own,1.0,80,10,0,0,0,0,0,-5.5,0.8145019081822988,70,2,1,0,2,1,4
DSTK100,3048,sham304803_neg2,sham,own,2.0,80,14,2,0,2,0,2,-1.5,0.7661866806828171,66,5,2,0,0,0,7
DSTK100,3048,sham304803_neg3,sham,own,3.0,80,17,3,0,3,0,3,0,0.8202781844802343,63,5,3,0,2,0,7
DSTK100,3048,sham304803_neg4,sham,own,4.0,80,25,3,0,3,0,3,-2,0.7673485760128359,55,5,4,0,3,2,11
DSTK100,3048,sham304803_neg5,sham,own,5.0,80,30,4,0,4,0,4,-8.0,0.7604396638606321,50,5,7,0,3,3,12
DSTK100,3048,sham304803_neg6,sham,own,6.0,80,34,5,0,5,0,5,-14.0,0.7583914825765536,46,6,10,1,2,2,13
CodeLlama,13147,f13147_own_neg0.5,target_own,own,0.5,50,8,0,0,0,0,0,-72.0,0.647875416060675,42,0,0,3,0,3,2
CodeLlama,13147,f13147_own_neg1,target_own,own,1.0,50,12,0,0,0,0,0,-1.0,0.5784172689826059,38,0,0,4,0,3,5
CodeLlama,13147,f13147_own_neg2,target_own,own,2.0,50,19,0,0,0,0,0,4,0.49214468396054073,31,0,0,8,1,3,7
CodeLlama,13147,f13147_own_neg3,target_own,own,3.0,50,23,0,0,0,0,0,4,0.5155661991105029,27,0,0,10,2,3,8
CodeLlama,13147,f13147_own_neg4,target_own,own,4.0,50,28,1,0,1,0,1,10.5,0.5701948103070582,22,0,0,12,3,3,10
CodeLlama,13147,f13147_own_neg5,target_own,own,5.0,50,33,1,0,1,0,1,28,0.5162495330593948,17,0,0,16,2,3,12
CodeLlama,13147,f13147_own_neg6,target_own,own,6.0,50,35,1,0,1,0,1,17,0.5214994487320838,15,0,0,18,3,3,11
CodeLlama,13147,f13147_reverse_pos0.5,target_reverse,reverse,0.5,50,7,0,0,0,50,50,-6,0.5867275280898876,43,3,0,0,1,0,3
CodeLlama,13147,f13147_reverse_pos1,target_reverse,reverse,1.0,50,7,0,0,0,50,50,-6,0.6022099447513812,43,2,0,0,1,0,4
CodeLlama,13147,f13147_reverse_pos2,target_reverse,reverse,2.0,50,13,0,1,-1,50,49,-58,0.6215469613259669,37,2,2,1,2,2,4
CodeLlama,13147,f13147_reverse_pos3,target_reverse,reverse,3.0,50,14,0,1,-1,50,49,-27.0,0.5944687364206345,36,3,2,1,3,2,3
CodeLlama,13147,f13147_reverse_pos4,target_reverse,reverse,4.0,50,19,0,1,-1,50,49,-106,0.7118181818181818,31,3,4,2,3,2,5
CodeLlama,13147,f13147_reverse_pos5,target_reverse,reverse,5.0,50,21,0,1,-1,50,49,-58,0.7118181818181818,29,3,4,2,3,2,7
CodeLlama,13147,f13147_reverse_pos6,target_reverse,reverse,6.0,50,25,0,3,-3,50,47,-64,0.7504322766570605,25,5,5,2,4,2,7
CodeLlama,13147,f15471_control_neg0.5,feature_control,own,0.5,50,5,0,0,0,0,0,3,0.5113207547169811,45,0,0,1,1,0,3
CodeLlama,13147,f15471_control_neg1,feature_control,own,1.0,50,4,0,0,0,0,0,28.0,0.54553216002597,46,0,0,1,0,0,3
CodeLlama,13147,f15471_control_neg2,feature_control,own,2.0,50,9,0,0,0,0,0,60,0.48963317384370014,41,0,0,2,0,1,6
CodeLlama,13147,f15471_control_neg3,feature_control,own,3.0,50,13,0,0,0,0,0,58,0.5155661991105029,37,0,0,3,0,1,9
CodeLlama,13147,f15471_control_neg4,feature_control,own,4.0,50,17,0,0,0,0,0,60,0.620576431959139,33,0,0,5,0,1,11
CodeLlama,13147,f15471_control_neg5,feature_control,own,5.0,50,19,0,0,0,0,0,60,0.620576431959139,31,0,0,5,0,1,13
CodeLlama,13147,f15471_control_neg6,feature_control,own,6.0,50,22,0,0,0,0,0,62.5,0.6472911735871936,28,0,0,9,1,0,12
CodeLlama,13147,f2825_control_neg0.5,feature_control,own,0.5,50,4,0,0,0,0,0,-455.5,0.8211070148753512,46,0,0,2,0,0,2
CodeLlama,13147,f2825_control_neg1,feature_control,own,1.0,50,6,0,0,0,0,0,98.0,0.7293431075480572,44,0,0,3,0,1,2
CodeLlama,13147,f2825_control_neg2,feature_control,own,2.0,50,8,0,0,0,0,0,59.0,0.7003133138123812,42,0,0,3,0,2,3
CodeLlama,13147,f2825_control_neg3,feature_control,own,3.0,50,13,0,0,0,0,0,36,0.7593582887700535,37,0,0,4,1,2,6
CodeLlama,13147,f2825_control_neg4,feature_control,own,4.0,50,15,0,0,0,0,0,4,0.6530310497782159,35,0,0,7,1,0,7
CodeLlama,13147,f2825_control_neg5,feature_control,own,5.0,50,19,0,0,0,0,0,4,0.6796536796536796,31,0,0,8,1,0,10
CodeLlama,13147,f2825_control_neg6,feature_control,own,6.0,50,24,0,0,0,0,0,-1.5,0.6663423647159478,26,0,0,9,2,0,13
CodeLlama,13147,f7353_control_neg0.5,feature_control,own,0.5,50,3,0,0,0,0,0,58,0.620576431959139,47,0,0,1,0,0,2
CodeLlama,13147,f7353_control_neg1,feature_control,own,1.0,50,5,0,0,0,0,0,58,0.6412683388547089,45,0,0,1,0,2,2
CodeLlama,13147,f7353_control_neg2,feature_control,own,2.0,50,13,0,0,0,0,0,3,0.7593582887700535,37,0,0,1,1,2,9
CodeLlama,13147,f7353_control_neg3,feature_control,own,3.0,50,14,0,0,0,0,0,29.0,0.647875416060675,36,0,0,3,1,2,8
CodeLlama,13147,f7353_control_neg4,feature_control,own,4.0,50,16,0,0,0,0,0,1.5,0.647875416060675,34,0,0,4,2,1,9
CodeLlama,13147,f7353_control_neg5,feature_control,own,5.0,50,19,0,0,0,0,0,58,0.6412683388547089,31,0,0,8,1,1,9
CodeLlama,13147,f7353_control_neg6,feature_control,own,6.0,50,19,0,0,0,0,0,119,0.6412683388547089,31,0,0,8,1,1,9
CodeLlama,13147,sham1314701_neg0.5,sham,own,0.5,50,3,0,0,0,0,0,36,0.620576431959139,47,0,0,2,0,0,1
CodeLlama,13147,sham1314701_neg1,sham,own,1.0,50,6,0,0,0,0,0,-5.0,0.8015457815478277,44,0,0,3,0,0,3
CodeLlama,13147,sham1314701_neg2,sham,own,2.0,50,12,0,0,0,0,0,18.0,0.723882428340326,38,0,0,4,0,1,7
CodeLlama,13147,sham1314701_neg3,sham,own,3.0,50,16,0,0,0,0,0,98.0,0.7420897112534912,34,0,0,7,0,0,9
CodeLlama,13147,sham1314701_neg4,sham,own,4.0,50,19,0,0,0,0,0,160,0.7593582887700535,31,0,0,8,2,0,9
CodeLlama,13147,sham1314701_neg5,sham,own,5.0,50,21,0,0,0,0,0,36,0.724821133736929,29,0,0,9,2,0,10
CodeLlama,13147,sham1314701_neg6,sham,own,6.0,50,26,0,0,0,0,0,55.5,0.7036198754927273,24,0,0,14,3,0,9
CodeLlama,13147,sham1314702_neg0.5,sham,own,0.5,50,6,0,0,0,0,0,47.0,0.7583291912852598,44,0,0,3,0,1,2
CodeLlama,13147,sham1314702_neg1,sham,own,1.0,50,7,0,0,0,0,0,36,0.7201309328968903,43,0,0,4,0,1,2
CodeLlama,13147,sham1314702_neg2,sham,own,2.0,50,13,0,0,0,0,0,121,0.8174178762414056,37,0,0,5,0,1,7
CodeLlama,13147,sham1314702_neg3,sham,own,3.0,50,19,0,0,0,0,0,36,0.6992405063291139,31,0,0,9,0,1,9
CodeLlama,13147,sham1314702_neg4,sham,own,4.0,50,21,1,0,1,0,1,8,0.6428227360308285,29,0,0,13,0,0,8
CodeLlama,13147,sham1314702_neg5,sham,own,5.0,50,24,1,0,1,0,1,22.0,0.6565994973211906,26,0,0,16,0,0,8
CodeLlama,13147,sham1314702_neg6,sham,own,6.0,50,27,2,0,2,0,2,8,0.6703762586115527,23,0,0,16,1,1,9
CodeLlama,13147,sham1314703_neg0.5,sham,own,0.5,50,3,0,0,0,0,0,-2,0.620576431959139,47,0,0,1,0,0,2
CodeLlama,13147,sham1314703_neg1,sham,own,1.0,50,4,0,0,0,0,0,-455.5,0.6599084691441265,46,1,0,2,0,0,1
CodeLlama,13147,sham1314703_neg2,sham,own,2.0,50,8,0,0,0,0,0,149.5,0.5551048029014196,42,1,0,4,0,0,3
CodeLlama,13147,sham1314703_neg3,sham,own,3.0,50,17,1,0,1,0,1,160,0.6117021276595744,33,1,0,11,0,0,5
CodeLlama,13147,sham1314703_neg4,sham,own,4.0,50,23,1,0,1,0,1,160,0.5805981035740335,27,0,0,13,1,0,9
CodeLlama,13147,sham1314703_neg5,sham,own,5.0,50,24,1,0,1,0,1,162.0,0.596150115616804,26,0,0,14,1,0,9
CodeLlama,13147,sham1314703_neg6,sham,own,6.0,50,30,1,0,1,0,1,162.0,0.5055464614712329,20,0,0,18,2,0,10
