benchmark,feature_rank,feature_id,screen_aggregation,failure_tag,tag_support,regression_n,within_regression_effect,effect_to_permutation_variability,permutation_p_nominal,roc_auc_tag_vs_other_regressions,active_fraction_of_tag_tasks,active_fraction_of_other_regressions,median_first_percent_when_active_in_tag
bigcodebench,3,8471,early_max,wrong_logic_or_other_runtime,106,291,-0.0205178939676115,-0.1263909408015862,0.9253731343283582,0.49862315145334013,0.5094339622641509,0.5837837837837838,24.877786731130808
bigcodebench,4,14881,max,api_or_type_mismatch,120,291,-2.5727905272740363,-1.6397602491613454,0.11442786069651742,0.4476120857699805,0.65,0.6842105263157895,25.243664717348928
bigcodebench,4,14881,max,commentary_heavy,79,291,7.680878008140822,4.169923152301334,0.004975124378109453,0.620491999044662,0.7341772151898734,0.6462264150943396,12.420544113907958
bigcodebench,4,14881,max,edge_case_or_exception,43,291,-5.001764073900862,-2.5489516725246206,0.009950248756218905,0.4703675918979745,0.7209302325581395,0.6612903225806451,37.362637362637365
bigcodebench,4,14881,max,generation_limit_or_overgeneration,89,291,19.625930365850113,12.39067885760331,0.004975124378109453,0.9307486928468127,1.0,0.5247524752475248,8.0078125
bigcodebench,4,14881,max,missing_required_name_or_import,18,291,2.3755903400489835,0.7514392095359153,0.4427860696517413,0.625966625966626,0.8888888888888888,0.6556776556776557,19.12079944518
bigcodebench,4,14881,max,syntax_or_incomplete_code,17,291,20.42062570670993,6.0613878588602566,0.004975124378109453,0.8643194504079004,0.9411764705882353,0.6532846715328468,6.042884990253411
bigcodebench,4,14881,max,wrong_logic_or_other_runtime,106,291,3.774292263937263,2.435790918979574,0.01990049751243781,0.5179500254971953,0.6226415094339622,0.6972972972972973,9.408795962509013
bigcodebench,5,2910,early_max,api_or_type_mismatch,120,291,-0.06289841865586954,-0.45012092319919833,0.7164179104477612,0.47495126705653024,0.38333333333333336,0.3157894736842105,35.57142857142857
bigcodebench,5,2910,early_max,commentary_heavy,79,291,0.03976636165888689,0.2382613361273064,0.8258706467661692,0.520957726295677,0.379746835443038,0.330188679245283,22.189349112426036
bigcodebench,5,2910,early_max,edge_case_or_exception,43,291,-0.21584626073709395,-1.2337207720106214,0.24378109452736318,0.4745873968492123,0.3023255813953488,0.35080645161290325,63.265306122448976
bigcodebench,5,2910,early_max,generation_limit_or_overgeneration,89,291,0.42381565581308034,3.0042738251462975,0.014925373134328358,0.5823784625653576,0.4157303370786517,0.3118811881188119,15.399610136452242
bigcodebench,5,2910,early_max,missing_required_name_or_import,18,291,0.3700392815365169,1.4686981953920337,0.17412935323383086,0.6037851037851037,0.4444444444444444,0.336996336996337,22.62646598280766
bigcodebench,5,2910,early_max,syntax_or_incomplete_code,17,291,0.511664053115685,1.812088436068591,0.07462686567164178,0.6603692571919278,0.7058823529411765,0.32116788321167883,10.23391812865497
bigcodebench,5,2910,early_max,wrong_logic_or_other_runtime,106,291,0.05891437052403828,0.41748079883645856,0.7014925373134329,0.5028556858745538,0.29245283018867924,0.372972972972973,18.687872763419485
bigcodebench,6,12671,early_max,api_or_type_mismatch,120,291,-1.143668878357313,-2.369038122135747,0.014925373134328358,0.4355994152046784,0.9333333333333333,0.8654970760233918,19.504830917874393
bigcodebench,6,12671,early_max,commentary_heavy,79,291,-0.8996527800810259,-1.8674364631272298,0.06965174129353234,0.48310245999522333,0.9620253164556962,0.8679245283018868,7.025041235567551
bigcodebench,6,12671,early_max,edge_case_or_exception,43,291,-0.06784702114766472,-0.10340413412082484,0.9104477611940298,0.5186609152288072,0.9767441860465116,0.8790322580645161,16.569200779727097
bigcodebench,6,12671,early_max,generation_limit_or_overgeneration,89,291,2.502036090415157,4.96136149142436,0.004975124378109453,0.7479697407943041,0.9550561797752809,0.8663366336633663,3.9138943248532287
bigcodebench,6,12671,early_max,missing_required_name_or_import,18,291,4.2819101695467126,4.273628663401,0.004975124378109453,0.6537444037444038,0.8888888888888888,0.8937728937728938,5.458089668615985
bigcodebench,6,12671,early_max,syntax_or_incomplete_code,17,291,3.4689272847898325,3.319771168853814,0.004975124378109453,0.6682052382996995,0.7647058823529411,0.9014598540145985,6.042884990253412
bigcodebench,6,12671,early_max,wrong_logic_or_other_runtime,106,291,0.07831934671934482,0.15754011287836872,0.9154228855721394,0.5037735849056604,0.8113207547169812,0.9405405405405406,10.265169059749883
bigcodebench,7,10890,early_max,api_or_type_mismatch,120,291,0.14703099437450112,0.5267525794230166,0.6019900497512438,0.4580896686159844,0.6,0.49122807017543857,17.40462266778056
bigcodebench,7,10890,early_max,commentary_heavy,79,291,-0.22847177626012133,-0.683157560749312,0.48258706467661694,0.4819082875567232,0.5316455696202531,0.5377358490566038,17.40462266778056
bigcodebench,7,10890,early_max,edge_case_or_exception,43,291,-0.012807316575073668,-0.03216430815800859,0.9800995024875622,0.5106901725431358,0.627906976744186,0.5201612903225806,9.197651663405088
bigcodebench,7,10890,early_max,generation_limit_or_overgeneration,89,291,1.0872240968256615,3.4399100767053947,0.004975124378109453,0.6371120258093225,0.5730337078651685,0.5198019801980198,6.432748538011696
bigcodebench,7,10890,early_max,missing_required_name_or_import,18,291,0.8606992746738578,1.5639401570537945,0.1044776119402985,0.6684981684981685,0.6666666666666666,0.5274725274725275,0.0
bigcodebench,7,10890,early_max,syntax_or_incomplete_code,17,291,0.8347674530941614,1.2658959897835136,0.1791044776119403,0.6528553027050236,0.6470588235294118,0.5291970802919708,0.0
bigcodebench,7,10890,early_max,wrong_logic_or_other_runtime,106,291,-0.4392874263853883,-1.5082424260847198,0.12935323383084577,0.4895461499235084,0.39622641509433965,0.6162162162162163,8.644701086956522
bigcodebench,8,1058,max,api_or_type_mismatch,120,291,-0.6048050941082472,-0.7805949368706315,0.4228855721393035,0.48099415204678364,0.775,0.8771929824561403,23.076923076923077
bigcodebench,8,1058,max,commentary_heavy,79,291,-1.0895616778766226,-1.2228815753330569,0.19900497512437812,0.45521853355624553,0.8607594936708861,0.8254716981132075,11.208576998050681
bigcodebench,8,1058,max,edge_case_or_exception,43,291,2.8871128125995154,2.7605471660686125,0.009950248756218905,0.5953675918979745,0.9534883720930233,0.8145161290322581,19.23076923076923
bigcodebench,8,1058,max,generation_limit_or_overgeneration,89,291,7.801468605472137,10.185522782279591,0.004975124378109453,0.7950272555345422,1.0,0.7623762376237624,5.088062622309198
bigcodebench,8,1058,max,missing_required_name_or_import,18,291,0.24459389976529433,0.1549523249951868,0.9203980099502488,0.5584045584045584,0.8888888888888888,0.8315018315018315,19.503617363344052
bigcodebench,8,1058,max,syntax_or_incomplete_code,17,291,-0.6876676674050906,-0.49565023507488976,0.6517412935323383,0.45641906397595533,1.0,0.8248175182481752,7.212475633528265
bigcodebench,8,1058,max,wrong_logic_or_other_runtime,106,291,-1.3355918481452074,-1.6969460773108762,0.10945273631840796,0.4359000509943906,0.839622641509434,0.8324324324324325,12.085769980506823
bigcodebench,9,6128,max,api_or_type_mismatch,120,291,-0.24975530289069947,-0.7005392297233487,0.46766169154228854,0.45930799220272905,0.8583333333333333,0.9064327485380117,0.0
bigcodebench,9,6128,max,commentary_heavy,79,291,-0.24241674218637327,-0.6167311654688005,0.5472636815920398,0.5354370671124911,0.9873417721518988,0.8490566037735849,0.0
bigcodebench,9,6128,max,edge_case_or_exception,43,291,0.8602796852985497,1.6919897271069828,0.09950248756218906,0.5647505626406601,0.8837209302325582,0.8870967741935484,0.0
bigcodebench,9,6128,max,generation_limit_or_overgeneration,89,291,1.3218601898232507,3.6353316592687683,0.004975124378109453,0.6594170653020358,0.9662921348314607,0.8514851485148515,0.0
bigcodebench,9,6128,max,missing_required_name_or_import,18,291,0.47846638388540574,0.6869562333865022,0.5024875621890548,0.5734635734635735,1.0,0.8791208791208791,3.140592829980233
bigcodebench,9,6128,max,syntax_or_incomplete_code,17,291,-0.7187465465455262,-0.957862005077961,0.29850746268656714,0.44267926148561615,1.0,0.8795620437956204,0.9746588693957114
bigcodebench,9,6128,max,wrong_logic_or_other_runtime,106,291,-0.3117207460306787,-1.0490276017751703,0.29850746268656714,0.4882967873533911,0.8962264150943396,0.8810810810810811,0.0
bigcodebench,10,2857,max,api_or_type_mismatch,120,291,-0.6081439113582088,-1.262531450789258,0.21890547263681592,0.455458089668616,0.30833333333333335,0.40350877192982454,21.44249512670565
bigcodebench,10,2857,max,commentary_heavy,79,291,2.702490132208624,5.192041353412784,0.004975124378109453,0.6211189395748746,0.4936708860759494,0.3160377358490566,11.695906432748538
bigcodebench,10,2857,max,edge_case_or_exception,43,291,-0.8574556262195332,-1.352551913158534,0.16417910447761194,0.48377719429857463,0.3488372093023256,0.36693548387096775,23.647294589178358
bigcodebench,10,2857,max,generation_limit_or_overgeneration,89,291,6.461417046009944,14.415977216161146,0.004975124378109453,0.9442374012682168,0.9438202247191011,0.10891089108910891,15.753293504901961
bigcodebench,10,2857,max,missing_required_name_or_import,18,291,-1.2170163852973443,-1.32031508286866,0.1791044776119403,0.49837199837199836,0.4444444444444444,0.358974358974359,26.85238737870317
bigcodebench,10,2857,max,syntax_or_incomplete_code,17,291,2.6219497368078772,2.706487891776368,0.014925373134328358,0.6894589952769429,0.8235294117647058,0.3357664233576642,27.290448343079923
bigcodebench,10,2857,max,wrong_logic_or_other_runtime,106,291,1.386205059718502,2.638489391846426,0.014925373134328358,0.5525242223355431,0.39622641509433965,0.34594594594594597,12.682558174951268
humanevalplus,1,2572,max,wrong_logic_or_other_runtime,32,39,0.7189666575619152,1.0184087765082201,0.30845771144278605,0.5535714285714286,0.8125,0.7142857142857143,1.4705882352941178
humanevalplus,2,4614,max,wrong_logic_or_other_runtime,32,39,0.9637594909540245,0.6944600539575762,0.4527363184079602,0.59375,0.875,1.0,77.77777777777777
humanevalplus,3,7097,early_max,wrong_logic_or_other_runtime,32,39,0.5459067656525542,0.20883721891290996,0.8109452736318408,0.4375,1.0,1.0,4.880952380952381
humanevalplus,4,3612,max,wrong_logic_or_other_runtime,32,39,-0.6237784831651618,-0.45466057877726007,0.6616915422885572,0.47767857142857145,0.78125,0.5714285714285714,8.333333333333334
humanevalplus,5,2969,early_max,wrong_logic_or_other_runtime,32,39,0.32870260732514517,0.2972327574827003,0.7562189054726368,0.5044642857142857,0.46875,0.5714285714285714,20.689655172413794
humanevalplus,6,1287,max,wrong_logic_or_other_runtime,32,39,-1.063474293266024,-1.5084861697627905,0.12437810945273632,0.42410714285714285,0.3125,0.2857142857142857,28.571428571428573
humanevalplus,7,4966,early_max,wrong_logic_or_other_runtime,32,39,0.10471543669700623,0.0622673097426235,0.9502487562189055,0.3950892857142857,0.40625,0.5714285714285714,38.23529411764706
humanevalplus,8,8764,early_max,wrong_logic_or_other_runtime,32,39,-1.8580946517842158,-2.5231934120692188,0.024875621890547265,0.3125,0.15625,0.5714285714285714,27.33644859813084
humanevalplus,9,4672,max,wrong_logic_or_other_runtime,32,39,-1.8889970247234618,-1.6979280783154236,0.07462686567164178,0.22321428571428573,0.3125,0.7142857142857143,5.217785843920145
humanevalplus,10,7123,max,wrong_logic_or_other_runtime,32,39,-0.7898345185177666,-2.1103565792263788,0.0845771144278607,0.3080357142857143,0.03125,0.42857142857142855,29.12280701754386
