analysis,task_id,outcome,leave_one_task_out_margin,predicted_outcome,correct
same_text,HumanEval/114,improvement,0.3940286636352539,improvement,True
same_text,HumanEval/117,improvement,-0.0309220552444458,regression,False
same_text,HumanEval/123,improvement,0.5133023262023926,improvement,True
same_text,HumanEval/124,improvement,-0.08475703001022339,regression,False
same_text,HumanEval/128,improvement,0.4052979052066803,improvement,True
same_text,HumanEval/136,improvement,-0.25200507044792175,regression,False
same_text,HumanEval/143,improvement,0.24350416660308838,improvement,True
same_text,HumanEval/147,improvement,0.08661053329706192,improvement,True
same_text,HumanEval/153,improvement,0.5659326314926147,improvement,True
same_text,HumanEval/154,improvement,0.25705626606941223,improvement,True
same_text,HumanEval/158,improvement,0.5753642320632935,improvement,True
same_text,HumanEval/161,improvement,0.5291960835456848,improvement,True
different_own_text,HumanEval/18,regression,-0.23154231905937195,regression,True
different_own_text,HumanEval/39,regression,0.7697184085845947,improvement,False
different_own_text,HumanEval/49,regression,-0.07866159081459045,regression,True
different_own_text,HumanEval/70,regression,-0.27031081914901733,regression,True
different_own_text,HumanEval/76,regression,-0.367089182138443,regression,True
different_own_text,HumanEval/82,regression,-0.26059433817863464,regression,True
different_own_text,HumanEval/127,regression,-0.0670928806066513,regression,True
different_own_text,HumanEval/1,improvement,0.18952226638793945,improvement,True
different_own_text,HumanEval/6,improvement,0.6424577236175537,improvement,True
different_own_text,HumanEval/8,improvement,-0.23783187568187714,regression,False
different_own_text,HumanEval/10,improvement,0.4869723916053772,improvement,True
different_own_text,HumanEval/26,improvement,0.0819263905286789,improvement,True
different_own_text,HumanEval/36,improvement,-0.12267759442329407,regression,False
different_own_text,HumanEval/46,improvement,-0.25599247217178345,regression,False
different_own_text,HumanEval/47,improvement,-0.20557251572608948,regression,False
different_own_text,HumanEval/61,improvement,-0.24666112661361694,regression,False
different_own_text,HumanEval/62,improvement,-0.2648266553878784,regression,False
different_own_text,HumanEval/65,improvement,-0.10273833572864532,regression,False
different_own_text,HumanEval/68,improvement,0.7735110521316528,improvement,True
different_own_text,HumanEval/69,improvement,-0.15166841447353363,regression,False
different_own_text,HumanEval/73,improvement,-0.2798706889152527,regression,False
different_own_text,HumanEval/74,improvement,-0.13149750232696533,regression,False
different_own_text,HumanEval/78,improvement,0.6110321879386902,improvement,True
different_own_text,HumanEval/85,improvement,-0.013918086886405945,regression,False
different_own_text,HumanEval/86,improvement,0.6947774887084961,improvement,True
different_own_text,HumanEval/87,improvement,0.607903778553009,improvement,True
different_own_text,HumanEval/90,improvement,0.6596415042877197,improvement,True
different_own_text,HumanEval/95,improvement,-0.18473920226097107,regression,False
different_own_text,HumanEval/96,improvement,0.648531973361969,improvement,True
different_own_text,HumanEval/98,improvement,0.5674290657043457,improvement,True
different_own_text,HumanEval/99,improvement,0.0379655659198761,improvement,True
different_own_text,HumanEval/102,improvement,0.8214216232299805,improvement,True
different_own_text,HumanEval/104,improvement,0.5166711211204529,improvement,True
different_own_text,HumanEval/105,improvement,-0.0983450710773468,regression,False
different_own_text,HumanEval/107,improvement,0.09004434943199158,improvement,True
different_own_text,HumanEval/111,improvement,0.011104017496109009,improvement,True
different_own_text,HumanEval/113,improvement,-0.1661841720342636,regression,False
different_own_text,HumanEval/114,improvement,0.8251324892044067,improvement,True
different_own_text,HumanEval/117,improvement,0.21236272156238556,improvement,True
different_own_text,HumanEval/123,improvement,0.7028894424438477,improvement,True
different_own_text,HumanEval/124,improvement,0.19491875171661377,improvement,True
different_own_text,HumanEval/128,improvement,0.6238242387771606,improvement,True
different_own_text,HumanEval/136,improvement,-0.16138607263565063,regression,False
different_own_text,HumanEval/143,improvement,0.1279289573431015,improvement,True
different_own_text,HumanEval/147,improvement,-0.18638010323047638,regression,False
different_own_text,HumanEval/153,improvement,0.6066270470619202,improvement,True
different_own_text,HumanEval/154,improvement,0.5529735088348389,improvement,True
different_own_text,HumanEval/158,improvement,0.7313184142112732,improvement,True
different_own_text,HumanEval/161,improvement,0.6880007982254028,improvement,True
