task_id,task_idx,group,alpha,correct,changed_vs_alpha0,generated_tokens,residual_norm_mean,intervention_norm_mean,intervention_to_residual_ratio_mean,projection_before_mean,projection_after_mean
BigCodeBench/877,877,preserved_success,-3.0,True,False,512,133.1929112970829,1.996122121810913,0.015894490708433295,-1.2096535325690638,-3.205775572510902
BigCodeBench/923,923,preserved_success,-3.0,True,True,512,135.00244815647602,1.996122121810913,0.01595864893528187,-1.6708463011600543,-3.6669683310901746
BigCodeBench/454,454,preserved_success,-3.0,True,False,512,123.06778138875961,1.996122121810913,0.016385489325330127,-0.6412591801199596,-2.6373812279489357
BigCodeBench/106,106,preserved_success,-3.0,True,True,512,125.71358159184456,1.996122121810913,0.016035494579227816,-0.6247968993266113,-2.620918959204573
BigCodeBench/362,362,preserved_success,-3.0,True,True,484,123.2375874322308,1.996122121810913,0.016353781887307024,-0.8335836165515352,-2.829705651141395
BigCodeBench/134,134,regression,-4.0,False,False,512,129.37550261616707,2.661482095718384,0.020771196808709647,-0.6787389517703559,-3.3402207804028876
BigCodeBench/238,238,regression,-4.0,False,True,512,124.93940083682537,2.661482095718384,0.02151106667770364,-1.1671308030781802,-3.8286126606108155
BigCodeBench/133,133,regression,-4.0,False,True,507,127.23932316646538,2.661482095718384,0.021099003268813595,-1.0135079850047768,-3.674989849270213
BigCodeBench/1010,1010,regression,-4.0,False,True,512,127.20233051478863,2.661482095718384,0.021114254544954747,-1.048988384573022,-3.710470206977334
BigCodeBench/623,623,regression,-4.0,False,True,512,128.29671970009804,2.661482095718384,0.020918669093589415,-1.522406570817111,-4.183888397645205
BigCodeBench/877,877,preserved_success,-4.0,True,False,512,133.1929112970829,2.661482095718384,0.021192542205085374,-1.2096535325690638,-3.8711353988037445
BigCodeBench/923,923,preserved_success,-4.0,True,True,512,135.00244815647602,2.661482095718384,0.021278086096799598,-1.6708463011600543,-4.332328173186397
BigCodeBench/454,454,preserved_success,-4.0,True,True,512,123.10776491463184,2.661482095718384,0.021840064766365686,-0.6527451889996883,-3.314227022230625
BigCodeBench/106,106,preserved_success,-4.0,True,True,512,125.71358159184456,2.661482095718384,0.021380546493674046,-0.6247968993266113,-3.2862787455669604
BigCodeBench/362,362,preserved_success,-4.0,True,True,512,123.12545669078827,2.661482095718384,0.021825258114404278,-0.8008252753352281,-3.462307122477796
